ID,radius,lifeFrame,bSpEffectEnable,type,opposeTarget,friendlyTarget,selfTarget,disableOnTargetPCompany,rank,forgetTime,priority,soundBehaviorId,aiSoundLevel,replaningState,pad1
0,0,1,0,0,1,0,0,0,0,-1,100,-1,50,0,System.Byte[]
1000,0.5,1,1,1,1,0,0,0,0,-1,100,-1,100,0,System.Byte[]
1010,5,1,1,1,1,0,0,0,0,-1,100,-1,50,0,System.Byte[]
1020,7,1,1,1,1,0,0,0,0,-1,100,-1,50,0,System.Byte[]
1030,7,1,1,1,1,0,0,0,0,-1,100,-1,50,0,System.Byte[]
1040,1,1,1,1,1,0,0,0,0,-1,100,-1,100,0,System.Byte[]
1050,2,1,1,1,1,0,0,0,0,-1,100,-1,50,0,System.Byte[]
1060,5,1,1,1,1,0,0,0,0,-1,100,-1,50,0,System.Byte[]
1070,7,1,1,1,1,0,0,0,0,-1,100,-1,50,0,System.Byte[]
1080,7,1,1,1,1,0,0,0,0,-1,100,-1,50,0,System.Byte[]
1090,7,1,1,1,1,0,0,0,0,-1,100,-1,50,0,System.Byte[]
1500,15,4,0,0,1,0,0,1,4,-1,99999,-1,30,0,System.Byte[]
1501,15,4,0,0,1,0,0,0,5,-1,99700,-1,30,0,System.Byte[]
1510,15,4,0,0,1,0,0,0,9,-1,99900,-1,30,0,System.Byte[]
1520,15,4,0,0,1,0,0,0,2,-1,99800,-1,30,0,System.Byte[]
1530,15,4,0,0,1,0,0,1,4,-1,90600,-1,30,0,System.Byte[]
1531,15,4,0,0,1,0,0,0,8,-1,90500,-1,30,0,System.Byte[]
2000,4,1,0,2,1,0,0,0,1,-1,200,-1,50,0,System.Byte[]
2010,12,1,0,2,1,0,0,0,1,-1,200,-1,50,0,System.Byte[]
2020,16,1,0,2,1,0,0,0,1,-1,200,-1,50,0,System.Byte[]
2030,20,1,0,2,1,0,0,0,1,-1,200,-1,50,0,System.Byte[]
2100,4,1,0,0,1,0,0,0,0,-1,100,-1,50,0,System.Byte[]
2110,10,1,0,0,1,0,0,0,0,-1,100,-1,50,0,System.Byte[]
2120,15,1,0,0,1,0,0,0,0,-1,100,-1,50,0,System.Byte[]
2130,15,1,0,0,1,0,0,0,0,-1,100,-1,50,0,System.Byte[]
2200,4,1,0,2,1,0,0,0,0,-1,100,-1,50,0,System.Byte[]
2210,5,3.5,0,2,1,0,0,0,0,-1,100,-1,50,0,System.Byte[]
3000,4,1,0,0,1,0,0,0,0,-1,100,-1,50,0,System.Byte[]
3010,8,1,0,0,1,0,0,0,0,-1,100,-1,50,0,System.Byte[]
3020,12,1,0,0,1,0,0,0,0,-1,100,-1,50,0,System.Byte[]
