ID,disableParam_NT,disableParamReserve1,disableParamReserve2,chrInitParam,originChrInitParam,imageId,textId,reserve
1000,0,0,System.Byte[],1000,1000,1,288050,System.Byte[]
1001,0,0,System.Byte[],1010,1010,2,288051,System.Byte[]
1002,0,0,System.Byte[],1020,1020,3,288052,System.Byte[]
1003,0,0,System.Byte[],1030,1030,4,288053,System.Byte[]
1004,0,0,System.Byte[],1040,1040,5,288054,System.Byte[]
2000,1,0,System.Byte[],3100,3000,6,288100,System.Byte[]
2001,1,0,System.Byte[],3102,3001,7,288101,System.Byte[]
2002,1,0,System.Byte[],3104,3002,8,288102,System.Byte[]
2003,1,0,System.Byte[],3106,3003,9,288103,System.Byte[]
2004,1,0,System.Byte[],3108,3004,10,288104,System.Byte[]
2005,1,0,System.Byte[],3110,3005,11,288105,System.Byte[]
2006,1,0,System.Byte[],3112,3006,12,288106,System.Byte[]
2007,1,0,System.Byte[],3114,3007,13,288107,System.Byte[]
2008,1,0,System.Byte[],3116,3008,14,288108,System.Byte[]
2009,1,0,System.Byte[],3118,3009,15,288109,System.Byte[]
