ID,variationId,behaviorJudgeId,ezStateBehaviorType_old,refType,pad2,refId,consumeSA,stamina,consumeDurability,category,heroPoint,pad1
0,0,0,0,0,System.Byte[],-1,0,0,0,0,0,System.Byte[]
5,0,0,0,0,System.Byte[],4,0,0,0,0,0,System.Byte[]
7,0,0,3,2,System.Byte[],4,0,0,0,0,0,System.Byte[]
12,0,0,0,2,System.Byte[],6,0,0,0,0,0,System.Byte[]
13,0,0,0,2,System.Byte[],7,0,0,0,0,0,System.Byte[]
15,0,0,0,2,System.Byte[],10,0,0,0,0,0,System.Byte[]
16,0,0,0,2,System.Byte[],11,0,0,0,0,0,System.Byte[]
17,0,0,0,2,System.Byte[],12,0,0,0,0,0,System.Byte[]
50,0,0,0,1,System.Byte[],50,0,0,0,0,0,System.Byte[]
101,0,0,0,2,System.Byte[],8,0,0,0,0,0,System.Byte[]
102,0,0,0,2,System.Byte[],9,0,0,0,0,0,System.Byte[]
201,0,0,0,2,System.Byte[],201,0,0,0,0,0,System.Byte[]
202,0,0,0,2,System.Byte[],202,0,0,0,0,0,System.Byte[]
203,0,0,0,2,System.Byte[],203,0,0,0,0,0,System.Byte[]
206,0,0,0,2,System.Byte[],206,0,0,0,0,0,System.Byte[]
207,0,0,0,2,System.Byte[],207,0,0,0,0,0,System.Byte[]
208,0,0,0,2,System.Byte[],208,0,0,0,0,0,System.Byte[]
211,0,0,0,2,System.Byte[],211,0,0,0,0,0,System.Byte[]
212,0,0,0,2,System.Byte[],212,0,0,0,0,0,System.Byte[]
221,0,0,0,2,System.Byte[],221,0,0,0,0,0,System.Byte[]
222,0,0,0,2,System.Byte[],222,0,0,0,0,0,System.Byte[]
231,0,0,0,2,System.Byte[],231,0,0,0,0,0,System.Byte[]
232,0,0,0,2,System.Byte[],232,0,0,0,0,0,System.Byte[]
236,0,0,0,2,System.Byte[],236,0,0,0,0,0,System.Byte[]
237,0,0,0,2,System.Byte[],237,0,0,0,0,0,System.Byte[]
311,0,0,0,2,System.Byte[],311,0,0,0,0,0,System.Byte[]
312,0,0,0,2,System.Byte[],312,0,0,0,0,0,System.Byte[]
