ID,variationId,behaviorJudgeId,ezStateBehaviorType_old,refType,pad2,refId,consumeSA,stamina,consumeDurability,category,heroPoint,pad1
0,0,0,0,0,System.Byte[],-1,0,0,0,0,0,System.Byte[]
10,0,0,0,0,System.Byte[],10,0,0,0,5,0,System.Byte[]
11,0,0,0,0,System.Byte[],11,0,5,0,9,0,System.Byte[]
30,0,0,0,1,System.Byte[],950,0,0,0,0,0,System.Byte[]
100,0,0,0,0,System.Byte[],100,0,0,0,0,0,System.Byte[]
400,0,0,0,0,System.Byte[],200,0,0,0,9,0,System.Byte[]
401,0,0,0,0,System.Byte[],201,0,0,0,9,0,System.Byte[]
402,0,0,0,0,System.Byte[],202,0,0,0,9,0,System.Byte[]
403,0,0,0,0,System.Byte[],203,0,0,0,9,0,System.Byte[]
404,0,0,0,0,System.Byte[],204,0,0,0,5,0,System.Byte[]
405,0,0,0,0,System.Byte[],205,0,0,0,5,0,System.Byte[]
406,0,0,0,0,System.Byte[],206,0,0,0,5,0,System.Byte[]
410,0,0,0,0,System.Byte[],210,0,0,0,5,0,System.Byte[]
411,0,0,0,0,System.Byte[],211,0,0,0,5,0,System.Byte[]
412,0,0,0,0,System.Byte[],212,0,0,0,5,0,System.Byte[]
413,0,0,0,0,System.Byte[],213,0,0,0,5,0,System.Byte[]
420,0,0,0,0,System.Byte[],220,0,0,0,5,0,System.Byte[]
421,0,0,0,0,System.Byte[],221,0,0,0,5,0,System.Byte[]
422,0,0,0,0,System.Byte[],222,0,0,0,5,0,System.Byte[]
442,0,0,0,0,System.Byte[],44,0,0,0,5,0,System.Byte[]
500,0,0,0,0,System.Byte[],300,0,0,0,9,0,System.Byte[]
501,0,0,0,0,System.Byte[],301,0,0,0,9,0,System.Byte[]
502,0,0,0,0,System.Byte[],302,0,25,0,9,0,System.Byte[]
503,0,0,0,0,System.Byte[],303,0,50,0,9,0,System.Byte[]
504,0,0,0,0,System.Byte[],304,0,0,0,5,0,System.Byte[]
505,0,0,0,0,System.Byte[],305,0,0,0,5,0,System.Byte[]
506,0,0,0,0,System.Byte[],306,0,0,0,5,0,System.Byte[]
