ID,disableParam_NT,disableParamReserve1,disableParamReserve2,textId,tabId,sortId,pad
10000,0,0,System.Byte[],241300,10000,10,System.Byte[]
10010,1,0,System.Byte[],241301,10000,20,System.Byte[]
11000,1,0,System.Byte[],241302,11000,10,System.Byte[]
35000,1,0,System.Byte[],241319,11000,20,System.Byte[]
11050,1,0,System.Byte[],241303,11000,30,System.Byte[]
19000,1,0,System.Byte[],241318,11000,40,System.Byte[]
11100,1,0,System.Byte[],241304,11100,10,System.Byte[]
12010,1,0,System.Byte[],241305,12000,20,System.Byte[]
12011,1,0,System.Byte[],241306,12000,30,System.Byte[]
12012,1,0,System.Byte[],241307,12000,10,System.Byte[]
12020,1,0,System.Byte[],241308,12001,10,System.Byte[]
12070,1,0,System.Byte[],241309,12001,20,System.Byte[]
12050,1,0,System.Byte[],241311,12001,30,System.Byte[]
12030,1,0,System.Byte[],241310,12002,10,System.Byte[]
13000,1,0,System.Byte[],241312,13000,10,System.Byte[]
14000,1,0,System.Byte[],241313,14000,10,System.Byte[]
15001,1,0,System.Byte[],241314,15000,10,System.Byte[]
15000,1,0,System.Byte[],241315,15000,20,System.Byte[]
16000,1,0,System.Byte[],241316,16000,10,System.Byte[]
61000,0,0,System.Byte[],241321,61000,10,System.Byte[]
61001,0,0,System.Byte[],241322,61000,20,System.Byte[]
61002,1,0,System.Byte[],241323,61000,30,System.Byte[]
18000,0,0,System.Byte[],241317,61000,11,System.Byte[]
62000,1,0,System.Byte[],241324,62000,10,System.Byte[]
62001,1,0,System.Byte[],241325,62000,20,System.Byte[]
39200,1,0,System.Byte[],241320,62000,30,System.Byte[]
62002,1,0,System.Byte[],241326,62000,40,System.Byte[]
63000,1,0,System.Byte[],241327,63000,10,System.Byte[]
63001,1,0,System.Byte[],241328,63000,20,System.Byte[]
63002,1,0,System.Byte[],241329,63000,30,System.Byte[]
64000,1,0,System.Byte[],241331,64000,10,System.Byte[]
64001,1,0,System.Byte[],241332,64000,30,System.Byte[]
64002,1,0,System.Byte[],241336,64000,20,System.Byte[]
63003,1,0,System.Byte[],241330,65000,10,System.Byte[]
65000,1,0,System.Byte[],241333,65000,20,System.Byte[]
65001,1,0,System.Byte[],241334,65000,30,System.Byte[]
65002,1,0,System.Byte[],241335,65000,40,System.Byte[]
