ID,disableParam_NT,disableParamReserve1,disableParamReserve2,textId,sortId,iconId,pad
11100,1,0,System.Byte[],241400,-1,1,System.Byte[]
10000,0,0,System.Byte[],241401,1010,10,System.Byte[]
11000,1,0,System.Byte[],241402,3020,11,System.Byte[]
13000,1,0,System.Byte[],241403,7000,13,System.Byte[]
14000,1,0,System.Byte[],241404,2010,14,System.Byte[]
15000,1,0,System.Byte[],241405,5010,15,System.Byte[]
16000,1,0,System.Byte[],241406,3010,16,System.Byte[]
12000,1,0,System.Byte[],241407,6000,40,System.Byte[]
12001,1,0,System.Byte[],241408,6100,41,System.Byte[]
12002,1,0,System.Byte[],241409,6200,42,System.Byte[]
61000,0,0,System.Byte[],241410,1000,61,System.Byte[]
62000,1,0,System.Byte[],241411,2000,62,System.Byte[]
63000,1,0,System.Byte[],241412,3000,63,System.Byte[]
64000,1,0,System.Byte[],241413,4000,64,System.Byte[]
65000,1,0,System.Byte[],241414,5000,65,System.Byte[]
