ID,disableParam_NT,disableParamReserve1,disableParamReserve2,talkChrEntityId,eliminateTargetEntityId,summonedEventFlagId,isSpecial,pad1,pad2,buddyId,dopingSpEffectId,activateRange,overwriteReturnRange,overwriteActivateRegionEntityId,warnRegionEntityId,pad3
0,0,0,System.Byte[],0,0,0,0,0,System.Byte[],0,-1,100,-1,0,0,System.Byte[]
10000102,0,0,System.Byte[],10000102,10005102,10002102,0,0,System.Byte[],0,-1,100,-1,10002682,0,System.Byte[]
10000108,0,0,System.Byte[],10000108,10005108,10002108,0,0,System.Byte[],0,-1,100,-1,10002855,0,System.Byte[]
30020100,0,0,System.Byte[],30020100,30025100,30022100,0,0,System.Byte[],0,-1,100,-1,30022805,0,System.Byte[]
30040100,0,0,System.Byte[],30040100,30045100,30042100,0,0,System.Byte[],0,-1,100,-1,30042805,0,System.Byte[]
31030100,0,0,System.Byte[],31030100,31035100,31032100,0,0,System.Byte[],0,-1,100,-1,31032805,0,System.Byte[]
31150100,0,0,System.Byte[],31150100,31155100,31152100,0,0,System.Byte[],0,-1,100,-1,31152805,0,System.Byte[]
32010100,0,0,System.Byte[],32010100,32015100,32012100,0,0,System.Byte[],0,-1,100,-1,32012805,0,System.Byte[]
1041350100,0,0,System.Byte[],1041350100,0,1041352100,0,0,System.Byte[],0,-1,60,65,0,0,System.Byte[]
1041360100,0,0,System.Byte[],1041360100,0,1041362100,0,0,System.Byte[],0,-1,70,75,0,0,System.Byte[]
1041380100,0,0,System.Byte[],1041380100,0,1041382100,0,0,System.Byte[],0,-1,70,75,0,0,System.Byte[]
1042360100,0,0,System.Byte[],1042360100,1042365100,1042362100,0,0,System.Byte[],0,-1,70,55,1042362340,0,System.Byte[]
1042370100,0,0,System.Byte[],1042370100,0,1042372100,0,0,System.Byte[],0,-1,75,80,1042372350,1042372352,System.Byte[]
1042380100,0,0,System.Byte[],1042380100,0,1042382100,0,0,System.Byte[],0,-1,70,75,1042372360,1042372362,System.Byte[]
1043360100,0,0,System.Byte[],1043360100,1043365100,1043362100,0,0,System.Byte[],0,-1,80,85,1043362100,1043362101,System.Byte[]
1043360102,0,0,System.Byte[],1043360102,0,1043362102,0,0,System.Byte[],0,-1,70,75,1043362102,1043362103,System.Byte[]
1043370100,0,0,System.Byte[],1043370100,0,1043372100,0,0,System.Byte[],0,-1,70,75,1043372390,1043372394,System.Byte[]
1043380100,0,0,System.Byte[],1043380100,0,1043382100,0,0,System.Byte[],0,-1,70,75,0,0,System.Byte[]
1044360100,0,0,System.Byte[],1044360100,1044365100,1044362100,0,0,System.Byte[],0,-1,70,75,1044362100,1044362101,System.Byte[]
1044360102,0,0,System.Byte[],1044360102,1044365102,1044362102,0,0,System.Byte[],0,-1,70,75,1044362102,1044362103,System.Byte[]
