ID,limitNum_byGroup,isLimitEachOwner,pad2,pad
0,0,0,0,System.Byte[]
1,3,1,0,System.Byte[]
2,1,1,0,System.Byte[]
3,1,1,0,System.Byte[]
4,1,1,0,System.Byte[]
5,1,1,0,System.Byte[]
6,1,1,0,System.Byte[]
7,1,1,0,System.Byte[]
8,1,1,0,System.Byte[]
9,1,1,0,System.Byte[]
10,1,1,0,System.Byte[]
11,1,1,0,System.Byte[]
12,5,1,0,System.Byte[]
13,1,1,0,System.Byte[]
14,1,1,0,System.Byte[]
15,17,1,0,System.Byte[]
16,2,1,0,System.Byte[]
17,14,1,0,System.Byte[]
18,30,1,0,System.Byte[]
19,1,1,0,System.Byte[]
20,1,1,0,System.Byte[]
21,1,1,0,System.Byte[]
22,1,1,0,System.Byte[]
23,1,1,0,System.Byte[]
24,12,1,0,System.Byte[]
25,1,1,0,System.Byte[]
26,1,1,0,System.Byte[]
27,1,1,0,System.Byte[]
28,3,1,0,System.Byte[]
29,3,1,0,System.Byte[]
30,1,1,0,System.Byte[]
31,1,1,0,System.Byte[]
32,1,1,0,System.Byte[]
33,2,1,0,System.Byte[]
34,2,1,0,System.Byte[]
35,2,1,0,System.Byte[]
36,2,1,0,System.Byte[]
37,2,1,0,System.Byte[]
38,1,1,0,System.Byte[]
39,1,1,0,System.Byte[]
40,5,1,0,System.Byte[]
41,1,1,0,System.Byte[]
42,2,1,0,System.Byte[]
43,1,1,0,System.Byte[]
44,1,1,0,System.Byte[]
