ID,eventLayerId,mapStudioLayerId,multiPlayAreaOffset,overrideMapPlaceNameId,overrideSaveMapNameId,pad2
0,0,0,0,-1,-1,System.Byte[]
11100000,0,0,0,-1,-1,System.Byte[]
11100020,2,2,0,-1,-1,System.Byte[]
1042390000,0,0,0,-1,-1,System.Byte[]
1042390020,2,2,0,-1,-1,System.Byte[]
14000000,0,0,0,-1,-1,System.Byte[]
14000020,2,2,0,-1,-1,System.Byte[]
14000030,3,3,0,-1,-1,System.Byte[]
1035460000,0,0,0,-1,-1,System.Byte[]
1035460040,4,4,0,-1,-1,System.Byte[]
39200000,0,0,0,-1,-1,System.Byte[]
39200050,5,5,0,-1,-1,System.Byte[]
11000000,0,0,0,-1,-1,System.Byte[]
11000020,2,2,0,-1,-1,System.Byte[]
1039530000,0,0,0,-1,-1,System.Byte[]
1039530020,2,2,0,-1,-1,System.Byte[]
1040530020,2,2,0,-1,-1,System.Byte[]
15000000,0,0,0,-1,-1,System.Byte[]
15000020,2,2,0,-1,-1,System.Byte[]
15000030,3,3,0,-1,-1,System.Byte[]
1039530000,0,0,0,-1,-1,System.Byte[]
1050560020,2,2,0,-1,-1,System.Byte[]
12050000,0,0,0,-1,-1,System.Byte[]
12050020,2,2,0,-1,-1,System.Byte[]
99021010,1,1,18999,10000,10000,System.Byte[]
99022020,2,2,18999,0,0,System.Byte[]
99023030,3,3,4,11010,11010,System.Byte[]
