ID,disableParam_NT,disableParamReserve1,disableParamReserve2,modelMemoryType,texMemoryType,cameraDitherFadeId,reportAnimMemSizeMb
100,0,0,System.Byte[],1,1,0,12
110,0,0,System.Byte[],1,1,0,12
120,0,0,System.Byte[],1,1,0,12
1000,0,0,System.Byte[],1,1,0,12
2010,0,0,System.Byte[],3,3,101,12
2030,0,0,System.Byte[],4,4,101,12
2031,0,0,System.Byte[],1,1,101,12
2040,0,0,System.Byte[],3,3,101,12
2041,0,0,System.Byte[],3,3,101,12
2050,0,0,System.Byte[],3,3,101,12
2051,0,0,System.Byte[],3,3,101,12
2060,0,0,System.Byte[],4,4,120,12
2070,0,0,System.Byte[],4,4,120,12
2100,0,0,System.Byte[],3,3,101,12
2110,0,0,System.Byte[],4,4,120,12
2120,0,0,System.Byte[],4,4,101,12
2130,0,0,System.Byte[],4,4,110,12
2131,0,0,System.Byte[],3,3,101,12
2140,0,0,System.Byte[],3,3,110,12
2150,0,0,System.Byte[],1,1,101,12
2160,0,0,System.Byte[],2,2,101,12
2170,0,0,System.Byte[],2,2,101,12
2180,0,0,System.Byte[],3,3,101,12
2190,0,0,System.Byte[],4,4,101,12
2191,0,0,System.Byte[],4,4,101,12
2200,0,0,System.Byte[],4,4,120,12
2270,0,0,System.Byte[],4,4,110,12
2271,0,0,System.Byte[],2,2,110,12
2272,0,0,System.Byte[],4,4,120,12
2273,0,0,System.Byte[],2,2,110,12
2274,0,0,System.Byte[],4,4,110,12
2275,0,0,System.Byte[],2,2,110,12
2276,0,0,System.Byte[],4,4,110,12
2277,0,0,System.Byte[],2,2,110,12
2500,0,0,System.Byte[],3,3,101,12
3000,0,0,System.Byte[],3,3,101,15
3010,0,0,System.Byte[],3,3,101,12
3020,0,0,System.Byte[],3,3,101,12
3050,0,0,System.Byte[],4,4,110,12
3060,0,0,System.Byte[],3,3,101,12
3061,0,0,System.Byte[],3,3,101,12
3070,0,0,System.Byte[],3,3,101,12
3080,0,0,System.Byte[],3,3,101,12
3100,0,0,System.Byte[],3,3,101,12
3150,0,0,System.Byte[],4,4,110,12
3160,0,0,System.Byte[],1,1,120,12
3170,0,0,System.Byte[],3,3,101,12
3171,0,0,System.Byte[],3,3,110,12
3180,0,0,System.Byte[],2,2,101,12
3181,0,0,System.Byte[],3,3,110,12
3200,0,0,System.Byte[],3,3,101,12
3201,0,0,System.Byte[],3,3,101,12
3202,0,0,System.Byte[],3,3,101,12
3210,0,0,System.Byte[],2,2,101,12
3250,0,0,System.Byte[],4,4,120,12
3251,0,0,System.Byte[],4,4,120,12
3252,0,0,System.Byte[],4,4,120,12
3300,0,0,System.Byte[],3,3,101,12
3320,0,0,System.Byte[],2,2,101,12
3330,0,0,System.Byte[],2,2,110,12
3350,0,0,System.Byte[],3,3,101,12
3360,0,0,System.Byte[],3,3,101,12
3361,0,0,System.Byte[],3,3,101,12
3370,0,0,System.Byte[],3,3,110,12
3371,0,0,System.Byte[],3,3,110,12
3400,0,0,System.Byte[],3,3,101,12
3450,0,0,System.Byte[],3,3,101,15
