ID,disableParam_NT,disableParam_Debug,disableParamReserve1,disableParamReserve2,PlayMapId,RequireMapId0,RequireMapId1,RequireMapId2,RefCamPosHitPartsID,reserved_2,ClientDisableViewTimeForProgress,reserved,HitParts_0,HitParts_1
0,0,0,0,System.Byte[],0,0,0,0,-1,System.Byte[],0,System.Byte[],-1,-1
10000010,0,0,0,System.Byte[],10000000,0,0,0,1200,System.Byte[],75,System.Byte[],20000,-1
10000020,1,0,0,System.Byte[],10000000,0,0,0,14000,System.Byte[],61,System.Byte[],14000,-1
10000030,1,0,0,System.Byte[],10000000,0,0,0,14000,System.Byte[],57,System.Byte[],14000,-1
10000040,1,0,0,System.Byte[],10010000,0,0,0,-1,System.Byte[],30,System.Byte[],20100,-1
10000050,1,0,0,System.Byte[],10000000,0,0,0,-1,System.Byte[],5,System.Byte[],-1,-1
10010000,1,0,0,System.Byte[],10010000,0,0,0,-1,System.Byte[],30,System.Byte[],-1,-1
10010001,1,0,0,System.Byte[],10010000,0,0,0,-1,System.Byte[],30,System.Byte[],-1,-1
11000040,1,0,0,System.Byte[],11000000,0,0,0,20100,System.Byte[],100,System.Byte[],25100,-1
11050010,1,0,0,System.Byte[],11050000,0,0,0,20100,System.Byte[],110,System.Byte[],25200,-1
11050020,1,0,0,System.Byte[],11050000,0,0,0,20100,System.Byte[],93,System.Byte[],25000,-1
12010000,1,0,0,System.Byte[],12010000,0,0,0,16200,System.Byte[],34,System.Byte[],16200,-1
12010001,1,0,0,System.Byte[],12040000,0,0,0,20500,System.Byte[],37,System.Byte[],25000,-1
12020000,1,0,0,System.Byte[],12020000,0,0,0,16700,System.Byte[],46,System.Byte[],25000,-1
12020001,1,0,0,System.Byte[],12030000,0,0,0,2300,System.Byte[],44,System.Byte[],20000,-1
12030010,1,0,0,System.Byte[],12030000,0,0,0,4800,System.Byte[],34,System.Byte[],4800,-1
12030011,1,0,0,System.Byte[],12010000,0,0,0,6000,System.Byte[],37,System.Byte[],6000,-1
12030020,1,0,0,System.Byte[],12030000,0,0,0,-1,System.Byte[],4,System.Byte[],-1,-1
12030021,1,0,0,System.Byte[],12030000,0,0,0,-1,System.Byte[],3,System.Byte[],-1,-1
12050020,1,0,0,System.Byte[],12050000,0,0,0,5900,System.Byte[],101,System.Byte[],20000,-1
12060000,1,0,0,System.Byte[],60354200,0,0,0,354201,System.Byte[],57,System.Byte[],-1,-1
13000010,1,0,0,System.Byte[],13000000,0,0,0,-1,System.Byte[],104,System.Byte[],20000,-1
13000040,1,0,0,System.Byte[],13000000,0,0,0,17000,System.Byte[],73,System.Byte[],20200,-1
13000050,1,0,0,System.Byte[],13000000,0,0,0,-1,System.Byte[],30,System.Byte[],-1,-1
13000060,1,0,0,System.Byte[],11050000,0,0,0,-1,System.Byte[],30,System.Byte[],-1,-1
14000000,1,0,0,System.Byte[],14000000,0,0,0,9100,System.Byte[],63,System.Byte[],9100,-1
14000010,1,0,0,System.Byte[],14000000,0,0,0,9100,System.Byte[],96,System.Byte[],9100,-1
15000000,1,0,0,System.Byte[],15000000,0,0,0,15000,System.Byte[],114,System.Byte[],25000,-1
15000010,1,0,0,System.Byte[],15000000,0,0,0,15000,System.Byte[],103,System.Byte[],25100,-1
16000000,1,0,0,System.Byte[],16000000,0,0,0,7500,System.Byte[],51,System.Byte[],19000,-1
16000010,1,0,0,System.Byte[],16000000,0,0,0,-1,System.Byte[],14,System.Byte[],-1,-1
16000020,1,0,0,System.Byte[],16000000,0,0,0,16000,System.Byte[],78,System.Byte[],18000,-1
19000000,1,0,0,System.Byte[],19000000,0,0,0,900000,System.Byte[],88,System.Byte[],20100,-1
19000010,1,0,0,System.Byte[],19000000,0,0,0,-1,System.Byte[],30,System.Byte[],-1,-1
19000011,1,0,0,System.Byte[],11710000,0,0,0,-1,System.Byte[],30,System.Byte[],100,-1
19000020,1,0,0,System.Byte[],19000000,0,0,0,-1,System.Byte[],30,System.Byte[],-1,-1
