ID,textureId,dmypolyId,pitchAngle,yawAngle,nearDistance,farDistance,nearSize,farSize,maskSpeffectId,pad_10,replaceTextureId_byMaterial,dmypolyCategory,pad_05,useDeferredDecal,usePaintDecal,bloodTypeEnable,bUseNormal,pad_08,pad_09,usePom,useEmissive,putVertical,randomSizeMin,randomSizeMax,randomRollMin,randomRollMax,randomPitchMin,randomPitchMax,randomYawMin,randomYawMax,pomHightScale,pomSampleMin,pomSampleMax,blendMode,appearDirType,emissiveValueBegin,emissiveValueEnd,emissiveTime,bIntpEnable,pad_01,intpIntervalDist,beginIntpTextureId,endIntpTextureId,appearSfxId,appearSfxOffsetPos,maskTextureId,diffuseTextureId,reflecTextureId,maskScale,normalTextureId,heightTextureId,emissiveTextureId,diffuseColorR,diffuseColorG,diffuseColorB,pad_03,reflecColorR,reflecColorG,reflecColorB,bLifeEnable,siniScale,lifeTimeSec,fadeOutTimeSec,priority,bDistThinOutEnable,bAlignedTexRandomVariationEnable,distThinOutCheckDist,distThinOutCheckAngleDeg,distThinOutMaxNum,distThinOutCheckNum,delayAppearFrame,randVaria_Diffuse,randVaria_Mask,randVaria_Reflec,pad_12,randVaria_Normal,randVaria_Height,randVaria_Emissive,pad_11,fadeInTimeSec,thinOutOverlapMultiRadius,thinOutNeighborAddRadius,thinOutOverlapLimitNum,thinOutNeighborLimitNum,thinOutMode,emissiveColorR,emissiveColorG,emissiveColorB,maxDecalSfxCreatableSlopeAngleDeg,pad_02
0,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,1,8,64,1,0,1,1,0,0,System.Byte[],0.01,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,255,255,255,System.Byte[],255,255,255,0,1,0,0,-1,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,-1,System.Byte[]
10,-1,-1,-90,0,-0.5,10,5,5,-1,0,0,0,0,1,1,0,1,0,0,0,0,0,100,100,0,0,0,0,0,0,1,8,64,1,1,0,0,0,0,System.Byte[],0.05,-1,-1,-1,0,999000000,9900030,99900010,1,999000000,-1,-1,200,0,0,System.Byte[],255,255,255,1,1,300,0,0,0,0,1,10,2,5,0,0,0,0,0,0,0,0,0,0,1,10,5,50,0,255,255,255,-1,System.Byte[]
20,100000,-1,0,0,-0.6,15,2,2,-1,0,0,0,0,1,1,0,0,0,0,0,1,0,100,100,0,0,0,0,0,0,1,8,64,1,0,40,0,15,1,System.Byte[],0.05,-1,-1,-1,0,0,100000,9900000,1,9900000,-1,-1,10,255,10,System.Byte[],255,255,255,1,1,60,10,0,1,0,1,10,2,5,0,1,1,1,0,1,1,1,0,0,1,10,5,50,0,255,255,255,-1,System.Byte[]
30,-1,-1,0,0,-5,10,15,15,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,100,120,-180,180,0,0,0,0,1,8,64,1,1,10,0,0,0,System.Byte[],0.01,-1,-1,803430,0,30000,100000,100000,1,100000,-1,5200530,0,0,0,System.Byte[],0,0,0,0,0,10,5,-1,0,0,20,60,2,5,0,0,0,0,0,0,0,0,0,0,0.3,1,0,30,1,255,255,255,-1,System.Byte[]
40,-1,-1,0,0,-1,50,10,10,-1,0,0,0,0,1,0,0,0,0,0,0,1,1,100,100,100,0,0,0,0,0,0,8,8,1,1,5,5,3,0,System.Byte[],0.01,-1,-1,-1,-1,30100,10,10,1,-1,-1,40010,0,0,0,System.Byte[],0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,255,-1,System.Byte[]
100010,-1,-1,-90,0,-0.5,0.5,1.2,1.2,-1,0,0,0,0,1,0,0,1,0,0,0,1,0,100,135,-180,180,0,0,0,0,1,8,64,1,0,12,1.5,10,0,System.Byte[],0.05,-1,-1,-1,0,-1,40000,-1,0.5,5421500,-1,-1,220,220,220,System.Byte[],0,0,0,1,0,8,4,0,1,0,1,10,2,5,0,3,0,0,0,0,0,0,0,0.5,0.65,0.25,3,5,1,255,255,255,-1,System.Byte[]
100020,-1,-1,-90,0,-0.5,0.5,1.2,1.2,-1,0,0,0,0,1,0,0,1,0,0,0,1,0,100,135,-180,180,0,0,0,0,1,8,64,1,0,12,1.5,10,0,System.Byte[],0.05,-1,-1,-1,0,-1,40000,-1,0.5,5421500,-1,-1,220,220,220,System.Byte[],0,0,0,1,0,8,4,0,1,0,1,10,2,5,0,3,0,0,0,0,0,0,0,0.5,0.65,0.25,3,5,1,255,255,255,-1,System.Byte[]
300010,6000001,-1,0,0,-1,5,8,8,-1,0,0,0,0,1,0,0,0,0,0,0,1,1,100,100,0,0,0,0,0,0,1,8,64,2,0,0.3,0.3,15,0,System.Byte[],0.05,-1,-1,5001,0,-1,6000001,100000,1,100002002,-1,6000001,255,255,255,System.Byte[],100,100,100,0,0.2,240,1,0,0,0,1,10,2,5,0,0,0,0,0,0,0,0,0,0.2,1,10,5,50,1,255,255,255,-1,System.Byte[]
300011,6000001,-1,0,0,-1,5,20,20,-1,0,0,0,0,1,0,0,0,0,0,0,1,1,100,130,0,0,0,0,0,0,1,8,64,1,0,40,40,15,0,System.Byte[],0.05,-1,-1,5002,0,-1,6000001,100000,1,-1,-1,6000001,255,255,255,System.Byte[],100,100,100,0,0.2,240,1,0,0,0,1,10,2,5,0,0,0,0,0,0,0,0,0,0.2,1,10,5,50,1,255,255,255,-1,System.Byte[]
300020,-1,-1,-90,0,-0.5,5,2,2,-1,0,0,0,0,1,0,1,0,0,0,0,0,0,100,125,-180,180,0,0,0,0,1,8,64,1,1,0,0,0,0,System.Byte[],0.05,-1,-1,-1,0,100000,100000,100000,1,-1,-1,-1,237,20,20,System.Byte[],90,7,7,0,1,60,3,0,0,1,1,10,2,5,0,0,5,0,0,0,0,0,0,0,1,10,5,50,0,255,255,255,-1,System.Byte[]
300030,-1,-1,0,0,-5,10,3.5,6,-1,0,0,0,0,1,0,0,0,0,0,0,1,1,100,180,-180,180,-15,15,-15,15,1,8,64,2,1,10,0,10,0,System.Byte[],0.01,-1,-1,645007,0,30000,100000,100000,1,100000,-1,-1,0,0,0,System.Byte[],0,0,0,1,0,10,5,-1,1,0,20,60,2,5,0,0,0,0,0,0,0,0,0,0,0.3,1,0,30,1,255,255,255,30,System.Byte[]
300031,-1,-1,0,0,-5,10,7,12,-1,0,0,0,0,1,0,0,0,0,0,0,1,1,100,180,-180,180,-15,15,-15,15,1,8,64,1,1,10,0,6,0,System.Byte[],0.01,-1,-1,645007,0,5000010,100000,100000,1,100000,-1,5200530,0,0,0,System.Byte[],0,0,0,1,0,10,5,-1,1,0,20,60,2,5,0,0,0,0,0,0,0,0,0,0,0.3,1,0,30,1,255,255,255,30,System.Byte[]
300040,-1,-1,0,0,-5,10,15,15,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,100,120,-180,180,0,0,0,0,1,8,64,1,1,10,0,0,0,System.Byte[],0.01,-1,-1,-1,0,30000,100000,100000,1,100000,-1,5200530,0,0,0,System.Byte[],0,0,0,0,0,10,5,-1,0,0,20,60,2,5,0,0,0,0,0,0,0,0,0,0,0.3,1,0,30,1,255,255,255,-1,System.Byte[]
360000,-1,-1,0,0,-0.5,5,0.6,3,-1,0,0,0,0,1,0,1,0,0,0,0,1,0,100,100,0,0,0,0,0,0,1,8,64,1,0,40,0,15,0,System.Byte[],0.05,-1,-1,-1,0,100010,100000,100000,1,5421500,-1,-1,200,20,20,System.Byte[],255,200,200,0,1,180,30,0,0,0,1,10,2,5,3,0,5,0,0,0,0,0,0,0,1,10,5,50,0,255,255,255,-1,System.Byte[]
400000,5000010,-1,0,0,-0.4,0.4,5,5,-1,0,0,0,0,1,0,0,0,0,0,0,1,1,100,100,-180,180,0,0,0,0,1,8,64,1,1,30,0,6,0,System.Byte[],0.01,-1,-1,-1,0,-1,100000,-1,1,100000,-1,5200530,0,0,0,System.Byte[],0,0,0,1,0,10,3,-1,0,0,1,10,2,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,255,255,255,-1,System.Byte[]
400010,100000,-1,-90,-90,-1,2,1.5,8,-1,0,0,0,0,1,0,1,1,0,0,0,1,0,100,100,0,180,0,0,0,0,1,8,64,1,1,1.5,0,15,1,System.Byte[],0.05,-1,-1,-1,0,100010,100000,100000,0.5,5421500,-1,-1,188,15,15,System.Byte[],90,7,7,1,0.9,6,2,0,1,0,1,10,2,5,0,0,4,0,0,0,0,0,0,0.1,1,10,3,5,0,255,255,255,-1,System.Byte[]
400011,100000,-1,-90,-90,-1,2,2.5,12,-1,0,0,0,0,1,0,1,1,0,0,0,1,0,100,100,0,180,0,0,0,0,1,8,64,1,1,1.5,0,15,1,System.Byte[],0.05,-1,-1,-1,0,100010,100000,100000,0.5,5421500,-1,-1,188,15,15,System.Byte[],90,7,7,1,0.9,6,2,0,1,0,1,10,2,5,0,0,4,0,0,0,0,0,0,0.1,1,10,3,5,0,255,255,255,-1,System.Byte[]
400012,100000,-1,-90,-90,-1,2,3.5,16,-1,0,0,0,0,1,0,1,1,0,0,0,1,0,100,100,0,180,0,0,0,0,1,8,64,1,1,1.5,0,15,1,System.Byte[],0.05,-1,-1,-1,0,100010,100000,100000,0.5,5421500,-1,-1,188,15,15,System.Byte[],90,7,7,1,0.9,6,2,0,1,0,1,10,2,5,0,0,4,0,0,0,0,0,0,0.1,1,10,3,5,0,255,255,255,-1,System.Byte[]
400020,700000,-1,0,0,-0.5,1.5,1.5,3,-1,0,0,0,0,1,0,0,0,0,0,0,1,1,100,180,-180,180,-10,10,-10,10,1,8,64,1,1,10,0,6,0,System.Byte[],0.01,-1,-1,-1,0,-1,-1,9900030,1,700000,-1,-1,158,207,255,System.Byte[],158,207,255,1,1,0.9,0.45,0,0,0,1,10,2,5,0,0,0,0,0,0,0,0,0,0.225,1,10,5,50,1,255,255,255,-1,System.Byte[]
400030,600100,-1,0,0,-1,1,7.5,7.5,-1,0,0,0,0,1,0,0,0,0,0,0,1,1,100,100,0,0,0,0,0,0,1,8,64,1,0,10,0,0.75,0,System.Byte[],0.01,-1,-1,-1,0,-1,6000100,-1,1,-1,-1,6000100,255,255,255,System.Byte[],255,255,255,1,0,0.75,0.1,-1,0,0,1,10,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,255,255,255,-1,System.Byte[]
400040,100000,-1,0,0,-1,1,3,6,-1,0,0,0,0,1,0,1,0,0,0,0,1,0,80,120,-180,180,0,0,0,0,1,8,64,1,0,10,0,3.5,1,System.Byte[],0.05,-1,-1,-1,0,100010,100000,100000,1,100000,-1,5200530,40,1,2,System.Byte[],50,1,2,1,0.8,4,2.5,0,1,0,1,10,2,5,0,0,3,0,0,0,0,0,0,0.25,1,10,5,50,0,255,255,255,-1,System.Byte[]
400050,700000,-1,0,0,-0.5,1.5,2,4,-1,0,0,0,0,1,0,0,0,0,0,0,1,1,100,180,-180,180,-10,10,-10,10,1,8,64,1,1,10,0,6,0,System.Byte[],0.01,-1,-1,-1,0,-1,-1,9900030,1,700000,-1,-1,158,207,255,System.Byte[],158,207,255,1,1,1.5,0.5,0,0,0,1,10,2,5,0,0,0,0,0,0,0,0,0,0.25,1,10,5,50,1,255,255,255,-1,System.Byte[]
400060,-1,-1,0,0,-0.5,1,2.5,5,-1,0,0,0,0,1,0,0,0,0,0,0,1,1,100,125,-180,180,-15,15,-15,15,1,8,64,1,0,10,0,2,0,System.Byte[],0.01,-1,-1,-1,0,30000,100000,100000,1,100000,-1,5200530,0,0,0,System.Byte[],0,0,0,1,0,3,1.5,-1,1,0,20,60,2,5,0,0,0,0,0,0,0,0,0,1,0.3,1,0,30,1,255,255,255,30,System.Byte[]
400070,-1,-1,0,0,-0.5,1,2.5,5,-1,0,0,0,0,1,0,0,0,0,0,0,1,1,100,125,-180,180,-15,15,-15,15,1,8,64,1,0,10,0,2,0,System.Byte[],0.01,-1,-1,-1,0,30000,100000,100000,1,100000,-1,5200540,0,0,0,System.Byte[],0,0,0,1,0,3,1.5,-1,1,0,20,60,2,5,0,0,0,0,0,0,0,0,0,1,0.3,1,0,30,1,255,255,255,30,System.Byte[]
400080,700000,-1,0,0,-0.5,1,2.5,5,-1,0,0,0,0,1,0,0,0,0,0,0,1,1,100,125,-180,180,-15,15,-15,15,1,8,64,1,0,10,0,2,0,System.Byte[],0.01,-1,-1,-1,0,-1,-1,9900030,1,700000,-1,-1,158,207,255,System.Byte[],158,207,255,1,1,3,1.5,-1,1,0,20,60,2,5,0,0,0,0,0,0,0,0,0,1,0.3,1,0,30,1,255,255,255,30,System.Byte[]
400090,-1,-1,0,0,-0.5,1,2.5,5,-1,0,0,0,0,1,0,0,0,0,0,0,1,1,100,125,-180,180,-15,15,-15,15,1,8,64,1,0,5,0,2,0,System.Byte[],0.01,-1,-1,-1,0,30000,100000,100000,1,100000,-1,5200550,0,0,0,System.Byte[],0,0,0,1,0,3,1.5,-1,1,0,20,60,2,5,0,0,0,0,0,0,0,0,0,1,0.3,1,0,30,1,255,255,255,30,System.Byte[]
400100,-1,-1,0,0,-0.5,1,3,6,-1,0,0,0,0,1,0,0,0,0,0,0,1,1,100,125,-180,180,-15,15,-15,15,1,8,64,1,0,50,0,7.5,0,System.Byte[],0.01,-1,-1,-1,0,30000,100000,100000,1,100000,-1,5200530,0,0,0,System.Byte[],0,0,0,1,0,10,1.5,-1,0,0,20,60,2,5,0,0,0,0,0,0,0,0,0,1,0.3,1,0,30,1,255,255,255,30,System.Byte[]
400110,-1,-1,0,0,-0.5,1,5,10,-1,0,0,0,0,1,0,0,0,0,0,0,1,1,100,125,-180,180,-15,15,-15,15,1,8,64,1,0,50,0,1,0,System.Byte[],0.01,-1,-1,-1,0,30000,100000,100000,1,100000,-1,5200530,0,0,0,System.Byte[],0,0,0,1,0,2,1.5,-1,1,0,20,60,2,5,0,0,0,0,0,0,0,0,0,1,0.3,1,0,30,1,255,255,255,30,System.Byte[]
400120,600100,-1,0,0,-1,1,7.5,7.5,-1,0,0,0,0,1,0,0,0,0,0,0,1,1,100,100,180,180,0,0,0,0,1,8,64,1,0,10,0,0.75,0,System.Byte[],0.01,-1,-1,-1,0,-1,6000100,-1,1,-1,-1,6000100,255,255,255,System.Byte[],255,255,255,1,0,0.75,0.1,-1,0,0,1,10,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,255,255,255,-1,System.Byte[]
421500,100010,-1,0,0,-1,5,1,4,-1,0,0,0,0,1,0,0,1,0,0,0,1,1,40,55,0,0,0,0,0,0,1,8,64,1,0,1.5,0.05,60,0,System.Byte[],0.05,-1,-1,621500,0,101000,100000,100000,1,5421500,-1,5421500,107,140,168,System.Byte[],150,150,180,1,0.8,300,20,0,1,0,1,10,2,5,0,0,3,0,0,0,0,0,0,0.5,0.25,5,3,3,1,255,255,255,-1,System.Byte[]
