ID,resId,pad1,textId,seId,canMixMapName,pad3,pad2
0,0,System.Byte[],-1,-1,0,0,System.Byte[]
1,1,System.Byte[],331301,888880000,0,0,System.Byte[]
2,2,System.Byte[],331302,888880000,0,0,System.Byte[]
3,3,System.Byte[],331303,888880000,0,0,System.Byte[]
4,4,System.Byte[],331304,888880000,0,0,System.Byte[]
5,5,System.Byte[],331305,999999999,0,0,System.Byte[]
7,7,System.Byte[],331307,444444441,0,0,System.Byte[]
8,8,System.Byte[],331308,444444440,0,0,System.Byte[]
9,9,System.Byte[],331309,444444446,0,0,System.Byte[]
11,11,System.Byte[],331311,444444444,1,0,System.Byte[]
13,13,System.Byte[],331313,444444445,0,0,System.Byte[]
14,14,System.Byte[],331314,444444447,0,0,System.Byte[]
15,15,System.Byte[],331315,444444448,0,0,System.Byte[]
16,16,System.Byte[],331316,444444449,0,0,System.Byte[]
17,17,System.Byte[],331317,888888887,0,0,System.Byte[]
21,21,System.Byte[],331321,888888891,0,0,System.Byte[]
22,22,System.Byte[],331322,888880001,0,0,System.Byte[]
23,8,System.Byte[],331323,444444440,0,0,System.Byte[]
24,8,System.Byte[],331324,444444440,0,0,System.Byte[]
25,8,System.Byte[],331325,444444440,0,0,System.Byte[]
30,30,System.Byte[],331330,888888892,0,0,System.Byte[]
31,30,System.Byte[],331331,888888892,0,0,System.Byte[]
32,30,System.Byte[],331332,888888892,0,0,System.Byte[]
33,30,System.Byte[],331333,888888892,0,0,System.Byte[]
34,30,System.Byte[],331334,888888892,0,0,System.Byte[]
35,30,System.Byte[],331335,888888892,0,0,System.Byte[]
36,30,System.Byte[],331336,888888892,0,0,System.Byte[]
37,30,System.Byte[],331337,888888892,0,0,System.Byte[]
38,30,System.Byte[],331338,888888892,0,0,System.Byte[]
39,30,System.Byte[],331339,888888892,0,0,System.Byte[]
50,50,System.Byte[],331305,999999999,0,0,System.Byte[]
