ID,disableParam_NT,disableParamReserve1,disableParamReserve2,RefTargetMapId,Reserve
30000000,0,0,System.Byte[],30000000,System.Byte[]
30010000,0,0,System.Byte[],30000000,System.Byte[]
30020000,0,0,System.Byte[],30000000,System.Byte[]
30030000,0,0,System.Byte[],30000000,System.Byte[]
30040000,0,0,System.Byte[],30000000,System.Byte[]
30050000,0,0,System.Byte[],30000000,System.Byte[]
30060000,0,0,System.Byte[],30000000,System.Byte[]
30070000,0,0,System.Byte[],30000000,System.Byte[]
30080000,0,0,System.Byte[],30000000,System.Byte[]
30090000,0,0,System.Byte[],30000000,System.Byte[]
30100000,0,0,System.Byte[],30000000,System.Byte[]
30110000,0,0,System.Byte[],30000000,System.Byte[]
30120000,0,0,System.Byte[],30000000,System.Byte[]
30130000,0,0,System.Byte[],30000000,System.Byte[]
30140000,0,0,System.Byte[],30000000,System.Byte[]
30150000,0,0,System.Byte[],30000000,System.Byte[]
30160000,0,0,System.Byte[],30000000,System.Byte[]
30170000,0,0,System.Byte[],30000000,System.Byte[]
30180000,0,0,System.Byte[],30000000,System.Byte[]
30190000,0,0,System.Byte[],30000000,System.Byte[]
30200000,0,0,System.Byte[],30000000,System.Byte[]
31000000,0,0,System.Byte[],30000000,System.Byte[]
31010000,0,0,System.Byte[],30000000,System.Byte[]
31020000,0,0,System.Byte[],30000000,System.Byte[]
31030000,0,0,System.Byte[],30000000,System.Byte[]
31040000,0,0,System.Byte[],30000000,System.Byte[]
31050000,0,0,System.Byte[],30000000,System.Byte[]
31060000,0,0,System.Byte[],30000000,System.Byte[]
31070000,0,0,System.Byte[],30000000,System.Byte[]
31080000,0,0,System.Byte[],30000000,System.Byte[]
31090000,0,0,System.Byte[],30000000,System.Byte[]
31100000,0,0,System.Byte[],30000000,System.Byte[]
31110000,0,0,System.Byte[],30000000,System.Byte[]
31120000,0,0,System.Byte[],30000000,System.Byte[]
31130000,0,0,System.Byte[],30000000,System.Byte[]
31140000,0,0,System.Byte[],30000000,System.Byte[]
31150000,0,0,System.Byte[],30000000,System.Byte[]
31160000,0,0,System.Byte[],30000000,System.Byte[]
31170000,0,0,System.Byte[],30000000,System.Byte[]
31180000,0,0,System.Byte[],30000000,System.Byte[]
31190000,0,0,System.Byte[],30000000,System.Byte[]
31200000,0,0,System.Byte[],30000000,System.Byte[]
31210000,0,0,System.Byte[],30000000,System.Byte[]
31220000,0,0,System.Byte[],30000000,System.Byte[]
32000000,0,0,System.Byte[],30000000,System.Byte[]
32010000,0,0,System.Byte[],30000000,System.Byte[]
32020000,0,0,System.Byte[],30000000,System.Byte[]
32030000,0,0,System.Byte[],30000000,System.Byte[]
32040000,0,0,System.Byte[],30000000,System.Byte[]
32050000,0,0,System.Byte[],30000000,System.Byte[]
32070000,0,0,System.Byte[],30000000,System.Byte[]
32080000,0,0,System.Byte[],30000000,System.Byte[]
32090000,0,0,System.Byte[],30000000,System.Byte[]
32100000,0,0,System.Byte[],30000000,System.Byte[]
32110000,0,0,System.Byte[],30000000,System.Byte[]
32120000,0,0,System.Byte[],30000000,System.Byte[]
