ID,lodRange,lod0ClusterType,lod1ClusterType,lod2ClusterType,pad0,distributionType,baseDensity,model0Name,flatTextureName,billboardTextureName,normalInfluence,inclinationMax,inclinationJitter,scaleBaseMin,scaleBaseMax,scaleHeightMin,scaleHeightMax,colorShade1_r,colorShade1_g,colorShade1_b,colorShade2_r,colorShade2_g,colorShade2_b,flatSplitType,flatBladeCount,flatSlant,flatRadius,castShadow,windAmplitude,pad1,windCycle,orientationAngle,orientationRange,spacing,dithering,pad,simpleModelName,model1Name
7,110,1,5,5,System.Byte[],0,2.5,AEG001_061,AET005_004_a,AET005_004_a,90,30,0,90,110,55,120,180,180,255,255,255,255,0,2,0,0,0,80,System.Byte[],40,-1,-1,0,0,System.Byte[],AEG001_061,AEG001_062
8,111,1,5,5,System.Byte[],0,2,AEG001_063,AET005_004_a,AET005_004_a,90,30,0,60,110,20,105,180,180,100,255,255,255,0,2,0,0,0,80,System.Byte[],40,-1,-1,0,0,System.Byte[],AEG001_065,AEG001_064
42,109,1,5,5,System.Byte[],0,2.5,AEG009_030,AET005_004_a,AET005_004_a,90,30,0,100,130,50,130,255,180,180,255,255,255,0,2,0,0,0,80,System.Byte[],40,-1,-1,0,0,System.Byte[],AEG009_031,AEG009_031
43,111,1,5,5,System.Byte[],0,1.5,AEG009_032,AET005_004_a,AET005_004_a,90,30,0,60,110,20,105,220,250,200,255,255,255,0,2,0,0,0,80,System.Byte[],40,-1,-1,0,0,System.Byte[],AEG009_031,AEG009_031
44,110,1,5,0,System.Byte[],0,2,AEG001_296,AET005_004_a,AET005_004_a,90,30,0,85,110,65,110,255,255,255,255,255,255,0,2,0,0,0,80,System.Byte[],40,-1,-1,0,0,System.Byte[],AEG001_325,AEG001_297
45,110,1,5,0,System.Byte[],0,2.5,AEG001_327,AET005_004_a,AET005_004_a,90,30,0,60,110,75,120,255,255,255,255,255,255,0,2,0,0,0,80,System.Byte[],40,-1,-1,0,0,System.Byte[],AEG001_284,AEG001_328
98,110,1,5,0,System.Byte[],0,2,AEG001_366,AET005_004_a,AET005_004_a,90,30,0,85,110,75,110,255,255,255,255,255,255,0,2,0,0,0,80,System.Byte[],40,-1,-1,0,0,System.Byte[],AEG001_364,AEG001_367
118,2,1,0,0,System.Byte[],0,2,AEG098_023,AET005_031_a,AET005_031_a,100,60,0,65,100,95,80,255,255,255,255,255,255,0,1,0,0,0,80,System.Byte[],40,-1,-1,0,0,System.Byte[],,
206,10,1,5,0,System.Byte[],0,0.15,AEG001_334,AET005_004_a,AET005_004_a,90,10,0,100,100,50,100,255,255,255,255,255,255,0,2,0,0,0,80,System.Byte[],40,-1,-1,0,0,System.Byte[],AEG001_334,AEG001_534
208,10,1,5,0,System.Byte[],0,0.7,AEG001_336,AET005_004_a,AET005_004_a,90,10,0,100,100,50,100,255,255,255,255,255,255,0,2,0,0,0,80,System.Byte[],40,-1,-1,0,0,System.Byte[],AEG001_254,AEG001_536
209,10,1,5,0,System.Byte[],0,0.15,AEG001_337,AET005_004_a,AET005_004_a,90,10,0,100,100,50,100,255,255,255,255,255,255,0,2,0,0,0,80,System.Byte[],40,-1,-1,0,0,System.Byte[],AEG001_337,AEG001_537
210,10,1,5,0,System.Byte[],0,0.05,AEG001_338,AET005_004_a,AET005_004_a,0,0,0,100,100,100,100,255,255,255,255,255,255,0,2,0,0,0,80,System.Byte[],40,-1,-1,0,0,System.Byte[],AEG001_338,AEG001_538
211,10,1,5,0,System.Byte[],0,0.15,AEG001_339,AET005_004_a,AET005_004_a,90,10,0,100,100,90,100,255,255,255,255,255,255,0,2,0,0,0,80,System.Byte[],40,-1,-1,0,0,System.Byte[],AEG001_339,AEG001_539
213,10,1,5,0,System.Byte[],0,0.1,AEG001_341,AET005_004_a,AET005_004_a,90,10,0,100,100,60,100,255,255,255,255,255,255,0,2,0,0,0,80,System.Byte[],40,-1,-1,0,0,System.Byte[],AEG001_341,AEG001_541
227,10,1,5,0,System.Byte[],0,2,AEG040_004,AET005_004_a,AET005_004_a,90,30,0,85,110,50,80,255,255,255,255,255,255,0,2,0,0,0,80,System.Byte[],40,-1,-1,0,0,System.Byte[],AEG001_325,AEG040_005
263,10,1,5,0,System.Byte[],0,1,AEG098_163,AET005_004_a,AET005_004_a,90,30,0,85,110,75,150,255,255,255,255,255,255,0,2,0,0,0,80,System.Byte[],40,-1,-1,0,0,System.Byte[],AEG098_163,AEG098_163
284,108,1,5,0,System.Byte[],0,2,AEG001_068,AET005_004_a,AET005_004_a,90,30,0,85,110,65,100,255,255,255,255,255,255,0,2,0,0,0,80,System.Byte[],40,-1,-1,0,0,System.Byte[],AEG001_377,AEG001_378
300,110,1,5,5,System.Byte[],0,2,AEG210_557,,,90,30,0,100,130,50,130,180,180,255,255,255,255,0,2,0,0,0,80,System.Byte[],40,-1,-1,0,0,System.Byte[],,AEG210_558
311,2,1,0,0,System.Byte[],0,2,AEG098_236,AET005_031_a,AET005_031_a,100,60,0,65,100,95,80,255,255,255,255,255,255,0,1,0,0,0,80,System.Byte[],40,-1,-1,0,0,System.Byte[],,
317,108,1,5,0,System.Byte[],0,2,AEG098_302,AET005_004_a,AET005_004_a,90,30,0,85,110,65,100,255,255,255,255,255,255,0,2,0,0,0,80,System.Byte[],40,-1,-1,0,0,System.Byte[],AEG001_377,AEG001_378
342,109,1,5,5,System.Byte[],0,2.5,AEG009_030,AET005_004_a,AET005_004_a,90,30,0,100,130,50,130,255,180,180,255,255,255,0,2,0,0,0,80,System.Byte[],40,-1,-1,0,0,System.Byte[],AEG009_031,AEG009_031
343,111,1,5,5,System.Byte[],0,1.5,AEG009_032,AET005_004_a,AET005_004_a,90,30,0,60,110,20,105,220,250,200,255,255,255,0,2,0,0,0,80,System.Byte[],40,-1,-1,0,0,System.Byte[],AEG009_031,AEG009_031
