ID,host,invadeOrb_None,invadeOrb_Umbasa,invadeOrb_Berserker,invadeOrb_Sinners,invadeSign_None,invadeSign_Umbasa,invadeSign_Berserker,invadeSign_Sinners,invadeRing_Sinners,invadeRing_Rosalia,invadeRing_Forest,coopSign_None,coopSign_Umbasa,coopSign_Berserker,coopSign_Sinners,coopRing_RedHunter,invadeRing_Anor,paramReplaceRate,paramReplaceId,pad
0,0,3,3,3,3,0,0,0,0,3,1,1,0,0,0,0,0,1,0,-1,System.Byte[]
1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,-1,System.Byte[]
2,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,1,0,-1,System.Byte[]
900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,System.Byte[]
1001,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,-1,System.Byte[]
1002,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,-1,System.Byte[]
1003,3,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,0,0,-1,System.Byte[]
1004,4,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,0,0,-1,System.Byte[]
1005,5,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,0,0,-1,System.Byte[]
1006,6,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,0,0,-1,System.Byte[]
1007,7,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,2,0,0,-1,System.Byte[]
1008,8,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,2,0,0,-1,System.Byte[]
1009,9,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,3,0,0,-1,System.Byte[]
1010,10,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,3,0,0,-1,System.Byte[]
1011,11,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,3,0,0,-1,System.Byte[]
1012,12,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,3,0,0,-1,System.Byte[]
1013,13,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,4,0,0,-1,System.Byte[]
1014,14,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,4,0,0,-1,System.Byte[]
1015,15,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,4,0,0,-1,System.Byte[]
2001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,System.Byte[]
2002,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,System.Byte[]
2003,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,System.Byte[]
2004,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,System.Byte[]
2005,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,System.Byte[]
2006,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,System.Byte[]
2007,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,System.Byte[]
2008,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,System.Byte[]
2009,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,System.Byte[]
2010,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,System.Byte[]
2011,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,System.Byte[]
2012,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,System.Byte[]
2013,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,System.Byte[]
2014,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,System.Byte[]
2015,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,System.Byte[]
5000,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,-1,System.Byte[]
10000,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,-1,System.Byte[]
10050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,System.Byte[]
10100,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,300,10200,System.Byte[]
10200,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,300,10300,System.Byte[]
10300,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,300,10400,System.Byte[]
10400,4,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,0,300,10500,System.Byte[]
10500,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,0,300,10600,System.Byte[]
10600,6,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,0,0,-1,System.Byte[]
100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,System.Byte[]
