ID,padKeyId,keyboardModifyKey,keyboardKeyId,mouseModifyKey,mouseKeyId,reserved
0,-1,0,125,0,0,System.Byte[]
1,3003,0,86,0,0,System.Byte[]
2,3003,0,100,0,0,System.Byte[]
3,3002,0,99,0,0,System.Byte[]
4,3002,0,101,0,0,System.Byte[]
5,2010,0,114,0,0,System.Byte[]
6,2005,0,126,0,0,System.Byte[]
7,2004,0,102,0,0,System.Byte[]
8,3005,0,-1,0,0,System.Byte[]
9,3005,0,-1,0,0,System.Byte[]
10,3004,0,-1,0,0,System.Byte[]
11,3004,0,-1,0,0,System.Byte[]
12,2011,0,85,0,8,System.Byte[]
13,2000,0,190,0,0,System.Byte[]
14,2001,0,195,0,0,System.Byte[]
15,2003,0,193,3,9,System.Byte[]
16,2002,0,192,3,10,System.Byte[]
17,2009,0,-1,0,2,System.Byte[]
18,3001,0,-1,3,2,System.Byte[]
19,2008,0,-1,0,1,System.Byte[]
20,3000,0,-1,3,1,System.Byte[]
21,2006,0,88,0,0,System.Byte[]
22,2007,0,87,0,0,System.Byte[]
23,2000,0,102,0,0,System.Byte[]
24,2013,0,70,0,0,System.Byte[]
25,2012,0,103,0,0,System.Byte[]
26,2000,0,190,0,0,System.Byte[]
27,2001,0,195,0,0,System.Byte[]
28,2003,0,193,0,0,System.Byte[]
29,2002,0,192,0,0,System.Byte[]
30,3003,0,86,0,0,System.Byte[]
31,3003,0,100,0,0,System.Byte[]
32,3002,0,101,0,0,System.Byte[]
33,3002,0,99,0,0,System.Byte[]
34,2900,0,87,0,0,System.Byte[]
35,-1,0,-1,0,2,System.Byte[]
36,2900,0,-1,0,0,System.Byte[]
37,2901,0,85,0,0,System.Byte[]
38,2901,0,-1,0,0,System.Byte[]
39,2008,3,192,0,0,System.Byte[]
40,2009,3,193,0,0,System.Byte[]
41,2007,0,102,0,0,System.Byte[]
42,2006,0,88,0,0,System.Byte[]
43,-1,0,-1,0,1,System.Byte[]
44,-1,0,-1,0,9,System.Byte[]
45,-1,0,-1,0,10,System.Byte[]
46,2010,0,114,0,0,System.Byte[]
47,2011,0,115,0,0,System.Byte[]
48,3000,3,190,0,0,System.Byte[]
49,3001,3,195,0,0,System.Byte[]
50,3010,3,190,0,0,System.Byte[]
51,3011,3,195,0,0,System.Byte[]
