ID,lowerFpsThreshold,upperFpsThreshold,lowerFpsContinousCount,upperFpsContinousCount,downAfterChangeSleep,upAfterChangeSleep,postProcessLightShaft,postProcessBloom,postProcessGlow,postProcessAA,postProcessSSAO,postProcessDOF,postProcessMotionBlur,postProcessMotionBlurIteration,reserve0,shadowBlur,sfxParticleHalf,sfxReflection,sfxWaterInteraction,sfxGlow,sfxDistortion,sftSoftSprite,sfxLightShaft,sfxScaleRenderDistanceScale,dynamicResolution,shadowCascade0ResolutionHalf,shadowCascade1ResolutionHalf,chrWetDisablePlayer,chrWetDisableRemotePlayer,chrWetDisableEnemy,dynamicResolutionPercentageMin,dynamicResolutionPercentageMax,reserve1
0,30.6,31.6,5,20,30,10,13,15,21,21,21,21,11,7,System.Byte[],9,5,4,4,21,4,21,5,4,2,1,14,3,2,2,70,100,System.Byte[]
1,32.5,33.5,5,20,30,10,13,15,21,21,18,18,11,7,System.Byte[],9,3,3,3,21,3,21,5,3,2,1,14,3,2,2,70,100,System.Byte[]
2,30.6,31.6,5,20,30,10,13,6,21,21,21,21,11,7,System.Byte[],9,13,10,8,21,10,21,5,10,2,1,14,3,2,2,70,100,System.Byte[]
3,32.5,33.5,5,20,30,10,13,15,21,21,18,18,11,7,System.Byte[],9,3,3,3,21,3,21,5,3,2,1,14,3,2,2,70,100,System.Byte[]
10,30.6,31.6,5,20,30,10,13,6,21,21,21,21,11,7,System.Byte[],9,5,4,4,21,4,21,5,4,2,1,14,3,2,2,100,100,System.Byte[]
11,32.5,33.5,5,20,30,10,13,6,21,21,18,18,11,7,System.Byte[],9,5,4,4,21,4,21,5,4,2,1,14,3,2,2,100,100,System.Byte[]
12,30.6,31.6,5,20,30,10,13,6,21,21,21,21,11,7,System.Byte[],9,13,10,8,21,10,21,5,10,2,1,14,3,2,2,100,100,System.Byte[]
13,32.5,33.5,5,20,30,10,13,6,21,21,18,18,11,7,System.Byte[],9,5,4,4,21,4,21,5,4,2,1,14,3,2,2,100,100,System.Byte[]
30,30.6,31.6,5,20,30,10,21,21,21,21,21,21,21,21,System.Byte[],9,21,21,21,21,21,21,21,21,2,1,14,21,21,21,100,100,System.Byte[]
31,58.6,59.6,5,20,30,10,21,21,21,21,21,21,11,7,System.Byte[],9,8,8,5,21,6,21,5,6,2,1,14,21,21,21,70,100,System.Byte[]
32,30.6,31.6,5,20,30,10,21,21,21,21,21,21,21,21,System.Byte[],9,21,21,21,21,21,21,21,21,0,0,14,21,21,21,40,75,System.Byte[]
40,30.6,31.6,5,20,30,10,21,21,21,21,21,21,21,21,System.Byte[],9,21,21,21,21,21,21,21,21,2,1,14,21,21,21,100,100,System.Byte[]
41,58.6,59.6,5,20,30,10,21,21,21,21,21,21,11,7,System.Byte[],9,8,8,5,21,6,21,5,6,2,1,14,21,21,21,70,100,System.Byte[]
42,30.6,31.6,5,20,30,10,21,21,21,21,21,21,21,21,System.Byte[],9,21,21,21,21,21,21,21,21,0,0,14,21,21,21,40,75,System.Byte[]
50,30.6,31.6,5,20,30,10,21,21,21,21,21,21,11,7,System.Byte[],9,13,10,8,21,10,21,5,10,2,1,14,3,2,2,90,100,System.Byte[]
51,58.6,59.6,5,20,30,10,13,6,21,21,21,21,11,7,System.Byte[],9,8,8,5,21,6,21,5,6,2,1,14,3,2,2,70,100,System.Byte[]
