ID,disableParam_NT,disableParamReserve1,disableParamReserve2,mapRegionId,Reserve
10000000,0,0,System.Byte[],1000,System.Byte[]
10010000,1,0,System.Byte[],1001,System.Byte[]
11000000,1,0,System.Byte[],1100,System.Byte[]
11050000,1,0,System.Byte[],1105,System.Byte[]
11100000,1,0,System.Byte[],1110,System.Byte[]
11710000,1,0,System.Byte[],1171,System.Byte[]
12010000,1,0,System.Byte[],1201,System.Byte[]
12020000,1,0,System.Byte[],1202,System.Byte[]
12030000,1,0,System.Byte[],1203,System.Byte[]
12040000,1,0,System.Byte[],1204,System.Byte[]
12050000,1,0,System.Byte[],1205,System.Byte[]
12060000,1,0,System.Byte[],1206,System.Byte[]
12070000,1,0,System.Byte[],1207,System.Byte[]
12080000,1,0,System.Byte[],1208,System.Byte[]
13000000,1,0,System.Byte[],1300,System.Byte[]
14000000,1,0,System.Byte[],1400,System.Byte[]
15000000,1,0,System.Byte[],1500,System.Byte[]
16000000,1,0,System.Byte[],1600,System.Byte[]
18000000,0,0,System.Byte[],1800,System.Byte[]
19000000,1,0,System.Byte[],1900,System.Byte[]
30000000,1,0,System.Byte[],3000,System.Byte[]
30010000,1,0,System.Byte[],3001,System.Byte[]
30020000,0,0,System.Byte[],3002,System.Byte[]
30030000,1,0,System.Byte[],3003,System.Byte[]
30040000,0,0,System.Byte[],3004,System.Byte[]
30050000,1,0,System.Byte[],3005,System.Byte[]
30060000,1,0,System.Byte[],3006,System.Byte[]
30070000,1,0,System.Byte[],3007,System.Byte[]
30080000,1,0,System.Byte[],3008,System.Byte[]
30090000,1,0,System.Byte[],3009,System.Byte[]
30100000,1,0,System.Byte[],3010,System.Byte[]
30110000,1,0,System.Byte[],3011,System.Byte[]
30120000,1,0,System.Byte[],3012,System.Byte[]
30130000,1,0,System.Byte[],3013,System.Byte[]
30140000,1,0,System.Byte[],3014,System.Byte[]
30150000,1,0,System.Byte[],3015,System.Byte[]
30160000,1,0,System.Byte[],3016,System.Byte[]
30170000,1,0,System.Byte[],3017,System.Byte[]
30180000,1,0,System.Byte[],3018,System.Byte[]
30190000,1,0,System.Byte[],3019,System.Byte[]
30200000,1,0,System.Byte[],3020,System.Byte[]
31000000,1,0,System.Byte[],3100,System.Byte[]
31010000,1,0,System.Byte[],3101,System.Byte[]
31020000,1,0,System.Byte[],3102,System.Byte[]
31030000,0,0,System.Byte[],3103,System.Byte[]
31040000,1,0,System.Byte[],3104,System.Byte[]
31050000,1,0,System.Byte[],3105,System.Byte[]
31060000,1,0,System.Byte[],3106,System.Byte[]
31070000,1,0,System.Byte[],3107,System.Byte[]
31080000,1,0,System.Byte[],3108,System.Byte[]
31090000,1,0,System.Byte[],3109,System.Byte[]
31100000,1,0,System.Byte[],3110,System.Byte[]
31110000,1,0,System.Byte[],3111,System.Byte[]
31120000,1,0,System.Byte[],3112,System.Byte[]
31130000,1,0,System.Byte[],3113,System.Byte[]
31140000,1,0,System.Byte[],3114,System.Byte[]
31150000,0,0,System.Byte[],3115,System.Byte[]
31170000,1,0,System.Byte[],3117,System.Byte[]
31180000,1,0,System.Byte[],3118,System.Byte[]
31190000,1,0,System.Byte[],3119,System.Byte[]
