ID,disableParam_NT,disableParamReserve1,disableParamReserve2,srcR,srcG,srcB,pad1,mapNameId,pad2
10,0,0,System.Byte[],0,255,0,System.Byte[],-61000,System.Byte[]
11,0,0,System.Byte[],0,223,0,System.Byte[],61000,System.Byte[]
12,0,0,System.Byte[],0,191,191,System.Byte[],-61001,System.Byte[]
13,0,0,System.Byte[],0,223,191,System.Byte[],61001,System.Byte[]
15,0,0,System.Byte[],15,127,15,System.Byte[],-61002,System.Byte[]
16,0,0,System.Byte[],15,191,15,System.Byte[],61002,System.Byte[]
20,0,0,System.Byte[],15,15,127,System.Byte[],-62000,System.Byte[]
21,0,0,System.Byte[],0,127,223,System.Byte[],62000,System.Byte[]
22,0,0,System.Byte[],0,255,255,System.Byte[],-62001,System.Byte[]
23,0,0,System.Byte[],0,223,223,System.Byte[],62001,System.Byte[]
24,0,0,System.Byte[],0,0,255,System.Byte[],-62002,System.Byte[]
25,0,0,System.Byte[],0,0,223,System.Byte[],62002,System.Byte[]
30,0,0,System.Byte[],255,255,191,System.Byte[],-63000,System.Byte[]
31,0,0,System.Byte[],255,223,191,System.Byte[],63000,System.Byte[]
32,0,0,System.Byte[],255,207,0,System.Byte[],-63002,System.Byte[]
33,0,0,System.Byte[],255,191,0,System.Byte[],63002,System.Byte[]
34,0,0,System.Byte[],255,159,0,System.Byte[],-63001,System.Byte[]
35,0,0,System.Byte[],255,127,0,System.Byte[],63001,System.Byte[]
36,0,0,System.Byte[],191,223,191,System.Byte[],-63003,System.Byte[]
37,0,0,System.Byte[],191,239,191,System.Byte[],63003,System.Byte[]
40,0,0,System.Byte[],255,0,0,System.Byte[],-64000,System.Byte[]
41,0,0,System.Byte[],223,0,0,System.Byte[],64000,System.Byte[]
42,0,0,System.Byte[],255,127,127,System.Byte[],-64001,System.Byte[]
43,0,0,System.Byte[],207,127,127,System.Byte[],64001,System.Byte[]
44,0,0,System.Byte[],255,127,255,System.Byte[],-64002,System.Byte[]
45,0,0,System.Byte[],223,127,223,System.Byte[],64002,System.Byte[]
50,0,0,System.Byte[],191,191,191,System.Byte[],-65000,System.Byte[]
51,0,0,System.Byte[],223,223,223,System.Byte[],65000,System.Byte[]
52,0,0,System.Byte[],159,127,127,System.Byte[],-65001,System.Byte[]
53,0,0,System.Byte[],159,159,159,System.Byte[],65001,System.Byte[]
54,0,0,System.Byte[],223,223,239,System.Byte[],-65002,System.Byte[]
55,0,0,System.Byte[],239,239,239,System.Byte[],65002,System.Byte[]
255,0,0,System.Byte[],0,0,0,System.Byte[],0,System.Byte[]
