ID,disableParam_NT,disableParamReserve1,disableParamReserve2,client1SpEffectId,client2SpEffectId,client3SpEffectId,bOverrideSpEffect,pad3
0,0,0,System.Byte[],7800,7801,7802,1,System.Byte[]
100,0,0,System.Byte[],7800,7801,7802,1,System.Byte[]
200,0,0,System.Byte[],7810,7811,7812,1,System.Byte[]
300,0,0,System.Byte[],7820,7821,7822,0,System.Byte[]
400,0,0,System.Byte[],7830,7831,7832,2,System.Byte[]
203000,1,0,System.Byte[],7820,7821,7822,0,System.Byte[]
203100,1,0,System.Byte[],7820,7821,7822,0,System.Byte[]
211000,1,0,System.Byte[],7820,7821,7822,0,System.Byte[]
212000,1,0,System.Byte[],7820,7821,7822,0,System.Byte[]
213000,1,0,System.Byte[],7820,7821,7822,0,System.Byte[]
219000,1,0,System.Byte[],7820,7821,7822,0,System.Byte[]
219200,1,0,System.Byte[],7820,7821,7822,0,System.Byte[]
305000,1,0,System.Byte[],7820,7821,7822,0,System.Byte[]
325000,1,0,System.Byte[],7820,7821,7822,2,System.Byte[]
325100,1,0,System.Byte[],7820,7821,7822,2,System.Byte[]
325200,1,0,System.Byte[],7820,7821,7822,0,System.Byte[]
356000,1,0,System.Byte[],7820,7821,7822,0,System.Byte[]
357000,1,0,System.Byte[],7820,7821,7822,0,System.Byte[]
451000,1,0,System.Byte[],7820,7821,7822,0,System.Byte[]
452000,1,0,System.Byte[],7820,7821,7822,0,System.Byte[]
465000,1,0,System.Byte[],7820,7821,7822,0,System.Byte[]
467000,1,0,System.Byte[],7820,7821,7822,0,System.Byte[]
468000,1,0,System.Byte[],7820,7821,7822,0,System.Byte[]
471000,1,0,System.Byte[],7820,7821,7822,0,System.Byte[]
472000,1,0,System.Byte[],7820,7821,7822,0,System.Byte[]
472100,1,0,System.Byte[],7820,7821,7822,0,System.Byte[]
473000,1,0,System.Byte[],7820,7821,7822,0,System.Byte[]
475000,1,0,System.Byte[],7820,7821,7822,0,System.Byte[]
476000,1,0,System.Byte[],7820,7821,7822,0,System.Byte[]
480000,1,0,System.Byte[],7820,7821,7822,0,System.Byte[]
491000,1,0,System.Byte[],7820,7821,7822,0,System.Byte[]
495000,1,0,System.Byte[],7820,7821,7822,0,System.Byte[]
496000,1,0,System.Byte[],7820,7821,7822,0,System.Byte[]
498000,1,0,System.Byte[],7820,7821,7822,0,System.Byte[]
