ID,cellSizeX,cellSizeY,cellSizeZ,cellOffsetX,cellOffsetY,cellOffsetZ,enableBloodstain,enableBloodMessage,enableGhost,enableMultiPlay,enableRingSearch,enableBreakInSearch,dummy
0,30,20,30,0,0,0,0,0,0,0,0,0,System.Byte[]
300000,30,20,30,0,0,0,1,1,1,1,1,1,System.Byte[]
301000,30,20,30,0,0,0,1,1,1,1,1,1,System.Byte[]
302000,30,20,30,0,0,0,1,1,1,1,1,1,System.Byte[]
310000,30,20,30,0,0,0,1,1,1,1,1,1,System.Byte[]
320000,30,20,30,0,0,0,1,1,1,1,1,1,System.Byte[]
330000,30,20,30,0,0,0,1,1,1,1,1,1,System.Byte[]
350000,30,20,30,0,0,0,1,1,1,1,1,1,System.Byte[]
360000,30,20,30,0,0,0,1,1,1,1,1,1,System.Byte[]
370000,30,20,30,0,0,0,1,1,1,1,1,1,System.Byte[]
380000,30,20,30,0,0,0,1,1,1,1,1,1,System.Byte[]
390000,30,20,30,0,0,0,1,1,1,1,1,1,System.Byte[]
400000,30,20,30,0,0,0,1,1,1,0,0,0,System.Byte[]
981000,30,20,30,0,0,0,1,1,1,1,1,1,System.Byte[]
991000,30,20,30,0,0,0,1,1,1,1,1,1,System.Byte[]
