ID,lv01_BorderDist,lv01_PlayDist,lv12_BorderDist,lv12_PlayDist,lv23_BorderDist,lv23_PlayDist,lv34_BorderDist,lv34_PlayDist,lv45_BorderDist,lv45_PlayDist,tex_lv01_BorderDist,tex_lv01_PlayDist,enableCrossFade,drawDist,drawFadeRange,shadowDrawDist,shadowFadeRange,motionBlur_BorderDist,isPointLightShadowSrc,isDirLightShadowSrc,isShadowDst,isShadowOnly,drawByReflectCam,drawOnlyReflectCam,IncludeLodMapLv,isNoFarClipDraw,lodType,shadowDrawLodOffset,isTraceCameraXZ,isSkydomeDrawPhase,DistantViewModel_BorderDist,DistantViewModel_PlayDist,LimtedActivate_BorderDist_forGrid,LimtedActivate_PlayDist_forGrid,zSortOffsetForNoFarClipDraw,shadowDrawAlphaTestDist,fowardDrawEnvmapBlendType,LBDrawDistScaleParamID,resereve
0,15,1,30,2,9999,0,9999,0,9999,0,30,1,0,9999,0,9999,0,20,0,1,1,0,0,0,-1,0,1,0,0,0,30,5,-1,10,0,9999,0,0,System.Byte[]
1,40,1,1000,2,9999,0,9999,0,9999,0,30,1,0,9999,0,9999,0,20,0,1,1,0,0,0,-1,0,1,0,0,0,30,5,-1,10,0,9999,0,0,System.Byte[]
2,15,1,1000,2,9999,0,9999,0,9999,0,30,1,0,9999,0,9999,0,20,0,1,1,0,0,0,-1,0,1,0,0,0,30,5,-1,10,0,9999,0,0,System.Byte[]
3,1000,1,2000,2,9999,0,9999,0,9999,0,0,1,0,9999,0,9999,0,20,0,1,1,0,0,0,-1,0,1,0,0,0,30,5,-1,10,0,9999,0,0,System.Byte[]
4,1,0,3,0,9999,0,9999,0,9999,0,30,1,0,9999,0,9999,0,20,0,1,1,0,0,0,-1,0,0,0,0,0,30,5,-1,10,0,9999,0,0,System.Byte[]
5,5,1,20,2,9999,0,9999,0,9999,0,30,1,0,9999,0,9999,0,20,0,1,1,0,0,0,-1,0,0,0,0,0,30,5,-1,10,0,9999,0,0,System.Byte[]
6,10,1,25,2,9999,0,9999,0,9999,0,0,1,1,9999,1,9999,1,20,1,1,1,0,0,0,-1,0,8,0,0,0,30,5,-1,10,0,9999,0,1,System.Byte[]
7,10,1,25,2,9999,0,9999,0,9999,0,0,1,1,9999,1,40,1,20,1,1,1,0,0,0,-1,0,9,0,0,0,30,5,-1,10,0,9999,0,2,System.Byte[]
8,5,1,20,2,9999,0,9999,0,9999,0,0,1,1,100,1,1,0,20,0,1,1,0,0,0,-1,0,10,0,0,0,30,5,-1,10,0,9999,0,3,System.Byte[]
9,10,1,25,2,9999,0,9999,0,9999,0,0,1,1,9999,1,40,1,20,1,1,1,0,0,0,-1,0,9,0,0,0,30,5,-1,10,0,9999,0,2,System.Byte[]
10,5,2,10,2,9999,0,9999,0,9999,0,25,3,1,100,2,30,5,10,1,1,1,0,0,0,-1,0,4,0,0,0,30,5,-1,10,0,15,0,10,System.Byte[]
11,10,3,20,3,9999,0,9999,0,9999,0,35,5,1,150,3,60,15,20,1,1,1,0,0,0,-1,0,5,0,0,0,30,5,-1,10,0,30,0,11,System.Byte[]
12,20,4,40,4,9999,0,9999,0,9999,0,40,10,1,250,5,180,20,30,1,1,1,0,0,0,-1,0,6,0,0,0,30,5,-1,10,0,90,0,12,System.Byte[]
13,40,5,80,5,9999,0,9999,0,9999,0,60,10,1,500,8,220,25,45,1,1,1,0,0,0,-1,0,7,0,0,0,30,5,-1,10,0,110,0,13,System.Byte[]
14,60,10,200,10,9999,0,9999,0,9999,0,75,10,1,1000,20,250,40,60,1,1,1,0,0,0,-1,0,7,0,0,0,30,5,-1,10,0,125,0,13,System.Byte[]
15,100,20,400,20,9999,0,9999,0,9999,0,100,10,1,2000,40,300,50,75,1,1,1,0,0,0,-1,0,7,0,0,0,30,5,-1,10,0,150,0,13,System.Byte[]
16,5,1,10,2,9999,0,9999,0,9999,0,0,0,1,9999,10,9999,10,100,1,1,1,0,0,0,-1,0,0,0,0,0,30,5,-1,10,0,9999,0,0,System.Byte[]
17,5,1,10,2,9999,0,9999,0,9999,0,0,0,1,9999,10,9999,10,100,1,1,1,0,0,0,-1,0,0,0,0,0,30,5,-1,10,0,9999,0,0,System.Byte[]
18,100,3,200,3,9999,0,9999,0,9999,0,0.1,1,1,50,2,1,0,10,1,0,0,0,0,0,-1,0,7,0,0,0,30,5,-1,10,0,9999,0,13,System.Byte[]
19,9998,2,9999,2,9999,0,9999,0,9999,0,0,0,1,9999,10,9999,10,100,1,1,1,0,0,0,-1,0,7,0,0,0,30,5,-1,10,0,9999,0,13,System.Byte[]
20,5,2,9999,2,9999,0,9999,0,9999,0,15,5,1,100,2,1,1,10,1,1,1,0,0,0,-1,0,4,0,0,0,30,5,-1,10,0,0,0,10,System.Byte[]
21,10,3,9999,3,9999,0,9999,0,9999,0,25,10,1,150,3,1,1,20,1,1,1,0,0,0,-1,0,5,0,0,0,30,5,-1,10,0,0,0,11,System.Byte[]
22,20,4,9999,4,9999,0,9999,0,9999,0,35,20,1,250,5,1,1,30,1,1,1,0,0,0,-1,0,6,0,0,0,30,5,-1,10,0,0,0,12,System.Byte[]
23,40,5,9999,5,9999,0,9999,0,9999,0,45,20,1,500,8,1,1,45,1,1,1,0,0,0,-1,0,7,0,0,0,30,5,-1,10,0,0,0,13,System.Byte[]
24,60,10,9999,10,9999,0,9999,0,9999,0,55,20,1,1000,20,1,1,60,1,1,1,0,0,0,-1,0,7,0,0,0,30,5,-1,10,0,0,0,13,System.Byte[]
25,100,20,9999,20,9999,0,9999,0,9999,0,0,0,1,2000,40,1,1,75,1,1,1,0,0,0,-1,0,7,0,0,0,30,5,-1,10,0,0,0,13,System.Byte[]
26,10,1,50,2,9999,0,9999,0,9999,0,0,1,1,9999,1,40,1,20,1,1,1,0,0,0,-1,0,9,0,0,0,30,5,-1,10,0,9999,0,2,System.Byte[]
27,20,4,40,4,9999,0,9999,0,9999,0,35,20,1,250,5,180,20,30,1,1,1,0,0,0,2,0,1,0,0,0,30,5,-1,10,0,90,0,20,System.Byte[]
28,10,3,9999,3,9999,0,9999,0,9999,0,0.1,1,1,10,5,1,1,10,1,0,0,0,0,0,-1,0,7,0,0,0,30,5,-1,10,0,0,0,13,System.Byte[]
29,9998,2,9999,2,9999,0,9999,0,9999,0,0,0,1,9999,10,1,1,100,1,1,1,0,0,0,-1,0,7,0,0,0,30,5,-1,10,0,0,0,13,System.Byte[]
30,15,0.5,30,0.5,9999,0,9999,0,9999,0,30,1,1,9999,10,9999,0,20,0,1,1,0,0,0,0,0,1,0,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
31,30,10,60,30,400,5,9999,0,9999,0,60,1,1,512,10,315,10,0,0,1,1,0,0,0,0,0,1,1,0,0,30,5,-1,10,0,90,0,20,System.Byte[]
32,30,10,60,30,512,5,9999,0,9999,0,128,1,1,1024,10,315,10,0,0,1,1,0,0,0,0,0,1,1,0,0,30,5,-1,10,0,90,0,20,System.Byte[]
33,150,10,200,30,512,5,9999,0,9999,0,255,1,1,9999,10,315,10,0,0,1,1,0,0,0,0,0,1,1,0,0,30,5,-1,10,0,90,0,20,System.Byte[]
34,30,10,60,30,128,5,9999,0,9999,0,30,1,1,256,10,50,10,0,0,1,1,0,0,0,0,0,1,1,0,0,30,5,-1,10,0,90,0,7,System.Byte[]
35,15,3,40,3,128,5,9999,0,9999,0,15,1,1,45,10,45,10,0,0,1,1,0,0,0,0,0,1,1,0,0,30,5,-1,10,0,90,0,8,System.Byte[]
36,9999,10,9999,10,9999,5,9999,0,9999,0,60,1,1,2000,10,315,10,0,0,1,1,0,0,0,0,0,1,1,0,0,30,5,-1,10,0,90,0,20,System.Byte[]
37,20,10,50,20,300,5,9999,0,9999,0,60,1,1,512,10,155,10,0,0,1,1,0,0,0,0,0,1,1,0,0,30,5,-1,10,0,90,0,20,System.Byte[]
38,30,10,60,30,300,5,9999,0,9999,0,60,1,1,512,10,315,10,0,0,1,1,0,0,0,0,0,1,1,0,0,30,5,-1,10,0,90,0,20,System.Byte[]
39,5,1,20,2,9999,0,9999,0,9999,0,30,1,0,9999,0,9999,0,20,0,1,1,0,0,0,-1,0,1,0,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
40,10,1,20,1,9999,0,9999,0,9999,0,30,1,1,100,4,80,4,20,0,1,1,0,0,0,-1,0,1,0,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
41,10,0,20,0,9999,0,9999,0,9999,0,30,1,0,100,0,80,0,20,0,1,1,0,0,0,-1,0,1,0,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
42,5,1,20,2,9999,0,9999,0,9999,0,30,1,0,9999,0,9999,0,20,0,1,1,0,0,0,-1,0,1,0,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
43,5,1,20,2,9999,0,9999,0,9999,0,30,1,0,9999,0,9999,0,20,0,1,1,0,0,0,-1,0,1,0,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
44,5,1,20,2,9999,0,9999,0,9999,0,30,1,0,9999,0,9999,0,20,0,1,1,0,0,0,-1,0,1,0,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
45,10,3,90,10,125,3,512,3,768,3,2048,1,1,2048,20,256,10,20,0,1,1,0,0,0,2,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
46,10,3,80,3,9999,0,9999,0,9999,0,128,1,1,512,0,50,5,20,0,1,1,0,0,0,1,0,1,0,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
47,5,1,20,2,9999,0,9999,0,9999,0,30,1,0,9999,0,9999,0,20,0,1,1,0,0,0,-1,0,1,0,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
48,30,12,120,2,9999,0,9999,0,9999,0,512,1,1,2048,20,512,10,20,0,1,1,0,0,0,2,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
49,60,12,240,2,9999,0,9999,0,9999,0,150,1,1,2048,20,512,10,20,0,1,1,0,0,0,2,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
50,120,12,240,2,9999,0,9999,0,9999,0,128,1,1,700,20,512,0,20,0,1,1,0,0,0,2,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
51,20,4,80,2,9999,0,9999,0,9999,0,65,1,1,512,10,315,0,20,0,1,1,0,0,0,2,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
52,10,2,40,2,9999,0,9999,0,9999,0,40,1,1,256,10,100,0,20,0,1,1,0,0,0,1,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
53,10,1,25,2,9999,0,9999,0,9999,0,20,1,1,128,10,50,0,20,0,1,1,0,0,0,0,0,1,1,0,0,30,5,-1,10,0,9999,0,4,System.Byte[]
54,10,1,20,2,9999,0,9999,0,9999,0,20,1,1,64,10,25,0,20,0,1,1,0,0,0,0,0,1,1,0,0,30,5,-1,10,0,9999,0,5,System.Byte[]
55,5,1,20,2,9999,0,9999,0,9999,0,5,1,0,32,10,25,0,20,0,1,1,0,0,0,0,0,1,1,0,0,30,5,-1,10,0,9999,0,7,System.Byte[]
56,10,2,40,2,9999,0,9999,0,9999,0,50,1,1,256,10,100,0,20,0,1,1,0,0,0,0,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
57,5,1,20,2,9999,0,9999,0,9999,0,24,1,0,64,10,25,0,20,0,1,1,0,0,0,0,0,1,0,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
58,20,4,2048,2,9999,0,9999,0,9999,0,80,1,1,512,10,400,0,20,0,1,1,0,0,0,2,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
59,5,1,20,2,9999,0,9999,0,9999,0,25,1,0,9999,0,9999,0,20,0,1,1,0,0,0,-1,0,1,0,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
60,40,1,1000,2,9999,0,9999,0,9999,0,0,1,0,9999,0,9999,0,20,0,1,1,0,0,0,-1,0,1,0,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
61,9998,10,9999,10,9999,0,9999,0,9999,0,0,1,0,9999,0,9999,0,20,0,1,1,0,0,0,-1,0,1,0,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
