ID,a000_rightArmFB,a000_rightWristFB,a000_rightWristIO,a000_leftArmFB,a000_leftWristFB,a000_leftWristIO,a002_rightArmFB,a002_rightWristFB,a002_rightWristIO,a002_leftArmFB,a002_leftWristFB,a002_leftWristIO,a003_rightArmFB,a003_rightWristFB,a003_rightWristIO,a003_leftArmFB,a003_leftWristFB,a003_leftWristIO,a010_rightArmFB,a010_rightWristFB,a010_rightWristIO,a010_leftArmFB,a010_leftWristFB,a010_leftWristIO,a012_rightArmFB,a012_rightWristFB,a012_rightWristIO,a012_leftArmFB,a012_leftWristFB,a012_leftWristIO,a013_rightArmFB,a013_rightWristFB,a013_rightWristIO,a013_leftArmFB,a013_leftWristFB,a013_leftWristIO,a014_rightArmFB,a014_rightWristFB,a014_rightWristIO,a014_leftArmFB,a014_leftWristFB,a014_leftWristIO,a015_rightArmFB,a015_rightWristFB,a015_rightWristIO,a015_leftArmFB,a015_leftWristFB,a015_leftWristIO,a016_rightArmFB,a016_rightWristFB,a016_rightWristIO,a016_leftArmFB,a016_leftWristFB,a016_leftWristIO,pad
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
1,0,0,0,0,0,0,0,0,0,0,0,0,-20,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
6,-17,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
