ID,physicsAtkRate,magicAtkRate,fireAtkRate,thunderAtkRate,staminaAtkRate,saWeaponAtkRate,saDurabilityRate,correctStrengthRate,correctAgilityRate,correctMagicRate,correctFaithRate,physicsGuardCutRate,magicGuardCutRate,fireGuardCutRate,thunderGuardCutRate,poisonGuardResistRate,diseaseGuardResistRate,bloodGuardResistRate,curseGuardResistRate,staminaGuardDefRate,spEffectId1,spEffectId2,spEffectId3,residentSpEffectId1,residentSpEffectId2,residentSpEffectId3,materialSetId,maxReinforceLevel,darkAtkRate,darkGuardCutRate,correctLuckRate,freezeGuardDefRate,reinforcePriceRate,baseChangePriceRate,enableGemRank,pad2,sleepGuardDefRate,madnessGuardDefRate,baseAtkRate
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,System.Byte[],1,1,1
1,1.08,1.08,1.08,1.08,1.08,1,1,1.032,1.032,1.032,1.032,1,1,1,1,1,1,1,1,1.008,0,0,0,0,0,0,1,1,1.08,1,1.032,1,1,1,0,System.Byte[],1,1,1.08
2,1.16,1.16,1.16,1.16,1.16,1,1,1.064,1.064,1.064,1.064,1,1,1,1,1,1,1,1,1.016,0,0,0,0,0,0,2,2,1.16,1,1.064,1,1.2,1,0,System.Byte[],1,1,1.16
3,1.24,1.24,1.24,1.24,1.24,1,1,1.096,1.096,1.096,1.096,1,1,1,1,1,1,1,1,1.024,0,0,0,0,0,0,3,3,1.24,1,1.096,1,1.4,1,0,System.Byte[],1,1,1.24
4,1.32,1.32,1.32,1.32,1.32,1,1,1.128,1.128,1.128,1.128,1,1,1,1,1,1,1,1,1.032,0,0,0,0,0,0,4,4,1.32,1,1.128,1,1.6,1,0,System.Byte[],1,1,1.32
5,1.4,1.4,1.4,1.4,1.4,1,1,1.16,1.16,1.16,1.16,1,1,1,1,1,1,1,1,1.04,0,0,0,0,0,0,5,5,1.4,1,1.16,1,1.8,1,0,System.Byte[],1,1,1.4
6,1.48,1.48,1.48,1.48,1.48,1,1,1.192,1.192,1.192,1.192,1,1,1,1,1,1,1,1,1.048,0,0,0,0,0,0,6,6,1.48,1,1.192,1,2,1,0,System.Byte[],1,1,1.48
7,1.56,1.56,1.56,1.56,1.56,1,1,1.224,1.224,1.224,1.224,1,1,1,1,1,1,1,1,1.056,0,0,0,0,0,0,7,7,1.56,1,1.224,1,2.2,1,0,System.Byte[],1,1,1.56
8,1.64,1.64,1.64,1.64,1.64,1,1,1.256,1.256,1.256,1.256,1,1,1,1,1,1,1,1,1.064,0,0,0,0,0,0,8,8,1.64,1,1.256,1,2.4,1,0,System.Byte[],1,1,1.64
9,1.72,1.72,1.72,1.72,1.72,1,1,1.288,1.288,1.288,1.288,1,1,1,1,1,1,1,1,1.072,0,0,0,0,0,0,9,9,1.72,1,1.288,1,2.6,1,0,System.Byte[],1,1,1.72
10,1.8,1.8,1.8,1.8,1.8,1,1,1.32,1.32,1.32,1.32,1,1,1,1,1,1,1,1,1.08,0,0,0,0,0,0,10,10,1.8,1,1.32,1,2.8,1,0,System.Byte[],1,1,1.8
