ID,teamType,pad10,phantomParamId,spEffectID0,spEffectID1,spEffectID2,spEffectID3,spEffectID4,spEffectID5,spEffectID6,spEffectID7,spEffectID8,spEffectID9,sosSignSfxId,mySosSignSfxId,summonStartAnimId,itemlotParamId,voiceChatGroup,roleNameColor,pad1,roleNameId,threatLv,phantomParamId_vowRank1,phantomParamId_vowRank2,phantomParamId_vowRank3,spEffectID_vowRank0,spEffectID_vowRank1,spEffectID_vowRank2,spEffectID_vowRank3,signPhantomId,nonPlayerSummonStartAnimId,pad2
0,1,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,63010,-1,1,1,System.Byte[],331100,1,-1,-1,-1,-1,-1,-1,-1,-1,0,System.Byte[]
1,2,System.Byte[],61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30001,30000,63010,5410,1,1,System.Byte[],331101,2,61,61,61,8801,-1,-1,-1,61,20026,System.Byte[]
2,16,System.Byte[],60,4700,-1,-1,-1,-1,-1,-1,-1,-1,-1,30011,30010,63010,5420,0,2,System.Byte[],331102,19,60,60,60,-1,-1,-1,-1,60,0,System.Byte[]
3,5,System.Byte[],900,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,63010,-1,0,1,System.Byte[],0,5,900,900,900,-1,-1,-1,-1,900,0,System.Byte[]
4,5,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,63010,-1,0,1,System.Byte[],0,5,-1,-1,-1,-1,-1,-1,-1,-1,0,System.Byte[]
5,6,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,63010,-1,0,2,System.Byte[],0,6,-1,-1,-1,-1,-1,-1,-1,-1,0,System.Byte[]
6,0,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,63010,-1,0,2,System.Byte[],0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,System.Byte[]
7,7,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,63010,-1,0,2,System.Byte[],0,7,-1,-1,-1,-1,-1,-1,-1,-1,0,System.Byte[]
8,4,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,System.Byte[],331100,4,-1,-1,-1,-1,-1,-1,-1,-1,0,System.Byte[]
9,26,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,63010,-1,0,1,System.Byte[],0,26,-1,-1,-1,-1,-1,-1,-1,-1,0,System.Byte[]
10,0,System.Byte[],902,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,63010,-1,0,1,System.Byte[],0,0,902,902,902,-1,-1,-1,-1,902,0,System.Byte[]
11,0,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,63010,-1,0,1,System.Byte[],0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,System.Byte[]
12,13,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,63010,-1,0,2,System.Byte[],0,13,-1,-1,-1,-1,-1,-1,-1,-1,0,System.Byte[]
13,16,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,63060,-1,0,2,System.Byte[],0,16,-1,-1,-1,-1,-1,-1,-1,-1,0,System.Byte[]
14,0,System.Byte[],901,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,1,System.Byte[],0,0,901,901,901,-1,-1,-1,-1,901,0,System.Byte[]
15,16,System.Byte[],60,4700,-1,-1,-1,-1,-1,-1,-1,-1,-1,30011,30010,63010,5430,0,2,System.Byte[],331102,19,60,60,60,-1,-1,-1,-1,60,0,System.Byte[]
16,16,System.Byte[],60,4700,-1,-1,-1,-1,-1,-1,-1,-1,-1,30011,30010,63010,5440,0,2,System.Byte[],331102,19,60,60,60,-1,-1,-1,-1,60,0,System.Byte[]
17,2,System.Byte[],70,8800,-1,-1,-1,-1,-1,-1,-1,-1,-1,30001,30000,63010,5450,0,1,System.Byte[],331111,2,70,70,70,8801,-1,-1,-1,61,0,System.Byte[]
18,0,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,1,System.Byte[],0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,System.Byte[]
10001,2,System.Byte[],61,8800,-1,-1,-1,-1,-1,-1,-1,-1,-1,30001,30000,63010,5550,0,1,System.Byte[],331111,2,61,61,61,8801,-1,-1,-1,61,0,System.Byte[]
10002,16,System.Byte[],81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30011,30010,63010,-1,0,2,System.Byte[],0,19,81,81,81,-1,-1,-1,-1,81,0,System.Byte[]
20001,2,System.Byte[],85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30021,30020,63020,5030,1,1,System.Byte[],331121,2,85,85,85,-1,-1,-1,-1,85,0,System.Byte[]
20002,16,System.Byte[],86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30031,30030,63020,5030,0,2,System.Byte[],331122,19,86,86,86,-1,-1,-1,-1,86,0,System.Byte[]
30001,31,System.Byte[],88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30041,30040,63010,5020,0,1,System.Byte[],331131,31,88,88,88,-1,-1,-1,-1,88,0,System.Byte[]
30002,32,System.Byte[],88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30051,30050,63010,5020,0,2,System.Byte[],331132,20,88,88,88,-1,-1,-1,-1,88,0,System.Byte[]
40001,2,System.Byte[],80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30061,30060,63010,-1,0,1,System.Byte[],331141,2,80,80,80,-1,-1,-1,-1,80,0,System.Byte[]
40002,16,System.Byte[],81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30011,30010,63010,-1,0,2,System.Byte[],331142,19,81,81,81,-1,-1,-1,-1,81,0,System.Byte[]
50001,2,System.Byte[],80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30001,30000,63010,5510,1,1,System.Byte[],331101,2,80,80,80,-1,-1,-1,-1,80,0,System.Byte[]
50002,16,System.Byte[],81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30011,30010,63010,5530,0,2,System.Byte[],331146,19,81,81,81,-1,-1,-1,-1,81,0,System.Byte[]
60001,2,System.Byte[],91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30001,30000,63010,-1,0,1,System.Byte[],0,2,91,91,91,-1,-1,-1,-1,91,0,System.Byte[]
60002,17,System.Byte[],91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30011,30010,63010,5580,0,2,System.Byte[],331143,21,91,91,91,-1,-1,-1,-1,91,0,System.Byte[]
70001,2,System.Byte[],91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30001,30000,63010,-1,1,1,System.Byte[],0,2,91,91,91,-1,-1,-1,-1,91,0,System.Byte[]
70002,18,System.Byte[],91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30011,30010,63010,5600,0,2,System.Byte[],331144,22,91,91,91,-1,-1,-1,-1,91,0,System.Byte[]
80001,2,System.Byte[],80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30001,30000,63010,5510,1,1,System.Byte[],331101,2,80,80,80,-1,-1,-1,-1,80,0,System.Byte[]
80002,16,System.Byte[],81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30011,30010,63010,5530,0,2,System.Byte[],331102,19,81,81,81,-1,-1,-1,-1,81,0,System.Byte[]
90001,2,System.Byte[],82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30001,30000,63010,5550,0,1,System.Byte[],331112,2,82,82,82,-1,-1,-1,-1,82,0,System.Byte[]
90002,16,System.Byte[],81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30011,30010,63010,-1,0,2,System.Byte[],0,19,81,81,81,-1,-1,-1,-1,81,0,System.Byte[]
1000001,0,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30003,0,0,-1,0,1,System.Byte[],0,0,-1,-1,-1,-1,-1,-1,-1,61,0,System.Byte[]
1000002,0,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30013,0,0,-1,0,2,System.Byte[],0,0,-1,-1,-1,-1,-1,-1,-1,60,0,System.Byte[]
1000003,0,System.Byte[],920,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,1,System.Byte[],0,0,920,920,920,-1,-1,-1,-1,0,0,System.Byte[]
1000010,0,System.Byte[],922,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,1,System.Byte[],0,0,922,922,922,-1,-1,-1,-1,0,0,System.Byte[]
1000014,0,System.Byte[],921,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,1,System.Byte[],0,0,921,921,921,-1,-1,-1,-1,0,0,System.Byte[]
