ID,seMaterialId,pad
1,1,System.Byte[]
2,2,System.Byte[]
3,3,System.Byte[]
4,4,System.Byte[]
5,5,System.Byte[]
6,6,System.Byte[]
7,7,System.Byte[]
8,8,System.Byte[]
9,9,System.Byte[]
10,10,System.Byte[]
11,11,System.Byte[]
12,12,System.Byte[]
13,13,System.Byte[]
14,14,System.Byte[]
15,15,System.Byte[]
16,16,System.Byte[]
17,17,System.Byte[]
18,18,System.Byte[]
19,19,System.Byte[]
20,20,System.Byte[]
21,21,System.Byte[]
22,22,System.Byte[]
23,23,System.Byte[]
24,24,System.Byte[]
25,25,System.Byte[]
26,26,System.Byte[]
27,27,System.Byte[]
28,28,System.Byte[]
29,29,System.Byte[]
30,30,System.Byte[]
31,31,System.Byte[]
32,32,System.Byte[]
33,33,System.Byte[]
34,34,System.Byte[]
35,35,System.Byte[]
36,36,System.Byte[]
37,37,System.Byte[]
38,38,System.Byte[]
39,39,System.Byte[]
40,40,System.Byte[]
41,41,System.Byte[]
42,42,System.Byte[]
43,43,System.Byte[]
44,44,System.Byte[]
45,45,System.Byte[]
46,46,System.Byte[]
47,47,System.Byte[]
48,48,System.Byte[]
49,49,System.Byte[]
52,49,System.Byte[]
100,50,System.Byte[]
101,51,System.Byte[]
102,52,System.Byte[]
103,53,System.Byte[]
104,54,System.Byte[]
105,55,System.Byte[]
106,56,System.Byte[]
107,94,System.Byte[]
108,58,System.Byte[]
109,59,System.Byte[]
110,60,System.Byte[]
111,61,System.Byte[]
112,62,System.Byte[]
113,63,System.Byte[]
114,64,System.Byte[]
115,65,System.Byte[]
116,66,System.Byte[]
117,67,System.Byte[]
118,68,System.Byte[]
119,69,System.Byte[]
120,70,System.Byte[]
121,71,System.Byte[]
122,72,System.Byte[]
123,95,System.Byte[]
124,74,System.Byte[]
125,75,System.Byte[]
126,76,System.Byte[]
127,77,System.Byte[]
128,78,System.Byte[]
129,79,System.Byte[]
130,80,System.Byte[]
131,80,System.Byte[]
132,80,System.Byte[]
133,80,System.Byte[]
134,84,System.Byte[]
135,85,System.Byte[]
136,85,System.Byte[]
137,85,System.Byte[]
138,85,System.Byte[]
139,89,System.Byte[]
140,90,System.Byte[]
141,91,System.Byte[]
142,92,System.Byte[]
143,93,System.Byte[]
144,57,System.Byte[]
145,95,System.Byte[]
146,59,System.Byte[]
147,60,System.Byte[]
148,98,System.Byte[]
