ID,equipId,value,mtrlId,eventFlag_forStock,eventFlag_forRelease,sellQuantity,pad3,equipType,costType,pad1,setNum,value_Add,value_Magnification,iconId,nameMsgId,menuTitleMsgId,menuIconId,pad2
1,240,100,-1,0,0,-1,System.Byte[],3,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
1000,290,100000,-1,0,0,-1,System.Byte[],3,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
1001,292,100000,-1,0,0,-1,System.Byte[],3,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
1002,240,100000,-1,0,0,-1,System.Byte[],3,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
1003,201000,100000,-1,0,0,-1,System.Byte[],0,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
100000,9500,200,-1,100000,0,2,System.Byte[],3,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
100001,6421,400,-1,100010,0,1,System.Byte[],3,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
100002,6820,500,-1,100020,0,1,System.Byte[],3,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
100003,33210000,300,-1,100030,0,1,System.Byte[],0,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
100004,34000000,300,-1,100040,0,1,System.Byte[],0,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
100005,34040000,500,-1,100050,0,1,System.Byte[],0,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
100006,20651,200,-1,100060,0,5,System.Byte[],3,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
100007,20691,200,-1,100070,0,5,System.Byte[],3,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
100025,1000,1000,-1,100250,0,1,System.Byte[],4,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
100026,1004,1000,-1,100260,0,1,System.Byte[],4,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
100027,1008,1000,-1,100270,0,1,System.Byte[],4,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
100028,1011,1000,-1,100280,0,1,System.Byte[],4,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
100029,1012,1000,-1,100290,0,1,System.Byte[],4,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
100030,190,1000,-1,100300,0,10,System.Byte[],3,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
100050,4000,300,-1,100500,0,1,System.Byte[],3,0,System.Byte[],1,0,1,-1,-1,231010,17,System.Byte[]
100051,4040,400,-1,100510,0,1,System.Byte[],3,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
100052,4440,500,-1,100520,0,1,System.Byte[],3,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
100053,4700,600,-1,100530,0,1,System.Byte[],3,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
100054,4900,400,-1,100540,0,1,System.Byte[],3,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
100055,5100,400,-1,100550,0,1,System.Byte[],3,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
100075,10300,1000,-1,100750,0,1,System.Byte[],4,0,System.Byte[],1,0,1,-1,-1,231030,19,System.Byte[]
100076,10900,1000,-1,100760,0,1,System.Byte[],4,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
100077,65000,1000,-1,100770,0,1,System.Byte[],4,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
100078,30100,1000,-1,100780,0,1,System.Byte[],4,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
100079,30200,1000,-1,100790,0,1,System.Byte[],4,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
