ID,equipId,value,mtrlId,eventFlag_forStock,eventFlag_forRelease,sellQuantity,pad3,equipType,costType,pad1,setNum,value_Add,value_Magnification,iconId,nameMsgId,menuTitleMsgId,menuIconId,pad2
1,240,100,-1,0,0,-1,System.Byte[],3,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
30000,150,0,300000,0,6500,-1,System.Byte[],3,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
30100,300,0,301000,0,6500,-1,System.Byte[],3,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
30102,350,0,301020,0,60530,-1,System.Byte[],3,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
30103,400,0,301030,0,6500,-1,System.Byte[],3,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
30105,640,0,301050,0,60560,-1,System.Byte[],3,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
30200,810,0,302000,0,6500,-1,System.Byte[],3,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
30300,900,0,303000,0,60510,-1,System.Byte[],3,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
30301,910,0,303010,0,60500,-1,System.Byte[],3,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
30400,1100,0,304000,0,60500,-1,System.Byte[],3,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
30401,1110,0,304010,0,60510,-1,System.Byte[],3,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
30402,1160,0,304020,0,60520,-1,System.Byte[],3,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
30403,1200,0,304030,0,60530,-1,System.Byte[],3,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
30404,1210,0,304040,0,60540,-1,System.Byte[],3,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
30500,1400,0,305000,0,60520,-1,System.Byte[],3,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
30502,1500,0,305020,0,60520,-1,System.Byte[],3,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
30600,1710,0,306000,0,6500,-1,System.Byte[],3,0,System.Byte[],5,0,1,-1,-1,-1,-1,System.Byte[]
30700,2020,0,307000,0,6500,-1,System.Byte[],3,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
30900,3320,0,309000,0,60530,-1,System.Byte[],3,0,System.Byte[],1,0,1,-1,-1,-1,-1,System.Byte[]
32000,50030000,0,320000,0,60500,-1,System.Byte[],0,0,System.Byte[],10,0,1,-1,-1,-1,-1,System.Byte[]
32001,50110000,0,320010,0,60500,-1,System.Byte[],0,0,System.Byte[],10,0,1,-1,-1,-1,-1,System.Byte[]
32002,50130000,0,320020,0,60510,-1,System.Byte[],0,0,System.Byte[],10,0,1,-1,-1,-1,-1,System.Byte[]
32003,50140000,0,320030,0,60510,-1,System.Byte[],0,0,System.Byte[],10,0,1,-1,-1,-1,-1,System.Byte[]
32004,50150000,0,320040,0,60540,-1,System.Byte[],0,0,System.Byte[],10,0,1,-1,-1,-1,-1,System.Byte[]
32005,50160000,0,320050,0,60540,-1,System.Byte[],0,0,System.Byte[],10,0,1,-1,-1,-1,-1,System.Byte[]
