ID,disableParam_NT,disableParamReserve1,disableParamReserve2,matchAreaId,pad1
0,0,0,System.Byte[],0,System.Byte[]
10000040,0,0,System.Byte[],1000,System.Byte[]
10000041,0,0,System.Byte[],1400,System.Byte[]
10000042,0,0,System.Byte[],1400,System.Byte[]
10000043,0,0,System.Byte[],1400,System.Byte[]
10000044,0,0,System.Byte[],1400,System.Byte[]
10000045,0,0,System.Byte[],1400,System.Byte[]
11000040,0,0,System.Byte[],3400,System.Byte[]
11000041,0,0,System.Byte[],3400,System.Byte[]
11000042,0,0,System.Byte[],3400,System.Byte[]
11000043,0,0,System.Byte[],3400,System.Byte[]
11000044,0,0,System.Byte[],3400,System.Byte[]
12010040,0,0,System.Byte[],6000,System.Byte[]
12010041,0,0,System.Byte[],6000,System.Byte[]
12010042,0,0,System.Byte[],6000,System.Byte[]
12010043,0,0,System.Byte[],6200,System.Byte[]
12010044,0,0,System.Byte[],6200,System.Byte[]
12010045,0,0,System.Byte[],6200,System.Byte[]
12010046,0,0,System.Byte[],6200,System.Byte[]
12020040,0,0,System.Byte[],6400,System.Byte[]
12020041,0,0,System.Byte[],6400,System.Byte[]
12020042,0,0,System.Byte[],6500,System.Byte[]
12020043,0,0,System.Byte[],6500,System.Byte[]
12020044,0,0,System.Byte[],6500,System.Byte[]
12020045,0,0,System.Byte[],6500,System.Byte[]
12030040,0,0,System.Byte[],6600,System.Byte[]
12030041,0,0,System.Byte[],6600,System.Byte[]
12030042,0,0,System.Byte[],6600,System.Byte[]
12030043,0,0,System.Byte[],6600,System.Byte[]
12030044,0,0,System.Byte[],6600,System.Byte[]
12050040,0,0,System.Byte[],6800,System.Byte[]
12050041,0,0,System.Byte[],6800,System.Byte[]
12050042,0,0,System.Byte[],6800,System.Byte[]
12070040,0,0,System.Byte[],6400,System.Byte[]
12070041,0,0,System.Byte[],6510,System.Byte[]
13000040,0,0,System.Byte[],7200,System.Byte[]
13000041,0,0,System.Byte[],7200,System.Byte[]
13000042,0,0,System.Byte[],7200,System.Byte[]
13000043,0,0,System.Byte[],7200,System.Byte[]
13000044,0,0,System.Byte[],7200,System.Byte[]
13000045,0,0,System.Byte[],7200,System.Byte[]
13000046,0,0,System.Byte[],7200,System.Byte[]
13000047,0,0,System.Byte[],7200,System.Byte[]
14000040,0,0,System.Byte[],2400,System.Byte[]
14000041,0,0,System.Byte[],2400,System.Byte[]
14000042,0,0,System.Byte[],2400,System.Byte[]
14000043,0,0,System.Byte[],2400,System.Byte[]
16000040,0,0,System.Byte[],1600,System.Byte[]
16000041,0,0,System.Byte[],1600,System.Byte[]
16000042,0,0,System.Byte[],1600,System.Byte[]
16000043,0,0,System.Byte[],1600,System.Byte[]
16000044,0,0,System.Byte[],1600,System.Byte[]
30000040,0,0,System.Byte[],1200,System.Byte[]
30010040,0,0,System.Byte[],1200,System.Byte[]
30020040,0,0,System.Byte[],1000,System.Byte[]
30110040,0,0,System.Byte[],1000,System.Byte[]
30040040,0,0,System.Byte[],1000,System.Byte[]
30050040,0,0,System.Byte[],2000,System.Byte[]
30030040,0,0,System.Byte[],2000,System.Byte[]
30060040,0,0,System.Byte[],2000,System.Byte[]
30080040,0,0,System.Byte[],3000,System.Byte[]
30090040,0,0,System.Byte[],3000,System.Byte[]
30100040,0,0,System.Byte[],3300,System.Byte[]
30120040,0,0,System.Byte[],3300,System.Byte[]
30070040,0,0,System.Byte[],3000,System.Byte[]
30130040,0,0,System.Byte[],3300,System.Byte[]
30140040,0,0,System.Byte[],4000,System.Byte[]
30150040,0,0,System.Byte[],4000,System.Byte[]
30160040,0,0,System.Byte[],4200,System.Byte[]
30170040,0,0,System.Byte[],5000,System.Byte[]
30180040,0,0,System.Byte[],5000,System.Byte[]
30190040,0,0,System.Byte[],5200,System.Byte[]
30200040,0,0,System.Byte[],5200,System.Byte[]
31020040,0,0,System.Byte[],1200,System.Byte[]
31010040,0,0,System.Byte[],1200,System.Byte[]
31000040,0,0,System.Byte[],1000,System.Byte[]
31030040,0,0,System.Byte[],1000,System.Byte[]
31150040,0,0,System.Byte[],1000,System.Byte[]
31170040,0,0,System.Byte[],1000,System.Byte[]
31040040,0,0,System.Byte[],2000,System.Byte[]
31050040,0,0,System.Byte[],2000,System.Byte[]
31060040,0,0,System.Byte[],2000,System.Byte[]
31070040,0,0,System.Byte[],3200,System.Byte[]
31090040,0,0,System.Byte[],3200,System.Byte[]
31180040,0,0,System.Byte[],3000,System.Byte[]
31190040,0,0,System.Byte[],3000,System.Byte[]
31210040,0,0,System.Byte[],4000,System.Byte[]
31100040,0,0,System.Byte[],4200,System.Byte[]
31200040,0,0,System.Byte[],4000,System.Byte[]
31110040,0,0,System.Byte[],4000,System.Byte[]
31120040,0,0,System.Byte[],5200,System.Byte[]
31220040,0,0,System.Byte[],5000,System.Byte[]
32000040,0,0,System.Byte[],1200,System.Byte[]
32010040,0,0,System.Byte[],1000,System.Byte[]
32020040,0,0,System.Byte[],2000,System.Byte[]
32040040,0,0,System.Byte[],3000,System.Byte[]
32050040,0,0,System.Byte[],3000,System.Byte[]
32070040,0,0,System.Byte[],4000,System.Byte[]
32080040,0,0,System.Byte[],4000,System.Byte[]
32110040,0,0,System.Byte[],5200,System.Byte[]
34100040,0,0,System.Byte[],1000,System.Byte[]
34110040,0,0,System.Byte[],2000,System.Byte[]
34120040,0,0,System.Byte[],3300,System.Byte[]
34120041,0,0,System.Byte[],3300,System.Byte[]
34130040,0,0,System.Byte[],4200,System.Byte[]
34130041,0,0,System.Byte[],4200,System.Byte[]
34140040,0,0,System.Byte[],5000,System.Byte[]
34140041,0,0,System.Byte[],5000,System.Byte[]
35000040,0,0,System.Byte[],3500,System.Byte[]
35000041,0,0,System.Byte[],3500,System.Byte[]
35000042,0,0,System.Byte[],3500,System.Byte[]
39200040,0,0,System.Byte[],2600,System.Byte[]
39200041,0,0,System.Byte[],2600,System.Byte[]
1060410040,0,0,System.Byte[],1200,System.Byte[]
1060420040,0,0,System.Byte[],1000,System.Byte[]
1060430040,0,0,System.Byte[],1000,System.Byte[]
1060430041,0,0,System.Byte[],1000,System.Byte[]
1060430042,0,0,System.Byte[],1200,System.Byte[]
1060430043,0,0,System.Byte[],1200,System.Byte[]
1060440040,0,0,System.Byte[],1000,System.Byte[]
1060330040,0,0,System.Byte[],2020,System.Byte[]
1060340040,0,0,System.Byte[],2010,System.Byte[]
1060340041,0,0,System.Byte[],2020,System.Byte[]
1060340042,0,0,System.Byte[],2020,System.Byte[]
1060340043,0,0,System.Byte[],2020,System.Byte[]
1060350040,0,0,System.Byte[],2020,System.Byte[]
1060380040,0,0,System.Byte[],2000,System.Byte[]
1035530040,0,0,System.Byte[],3200,System.Byte[]
1036520040,0,0,System.Byte[],3200,System.Byte[]
1036540040,0,0,System.Byte[],3200,System.Byte[]
1036540041,0,0,System.Byte[],3200,System.Byte[]
1037530040,0,0,System.Byte[],3200,System.Byte[]
1038520040,0,0,System.Byte[],3200,System.Byte[]
1039540040,0,0,System.Byte[],3200,System.Byte[]
1040530040,0,0,System.Byte[],3000,System.Byte[]
1042540040,0,0,System.Byte[],3000,System.Byte[]
1044530040,0,0,System.Byte[],3300,System.Byte[]
1045520040,0,0,System.Byte[],3300,System.Byte[]
1047400040,0,0,System.Byte[],4000,System.Byte[]
1048370040,0,0,System.Byte[],4000,System.Byte[]
1049380040,0,0,System.Byte[],4000,System.Byte[]
