ID,disableParam_NT,disableParamReserve1,disableParamReserve2,menuType,triggerType,repeatType,pad1,imageId,pad2,unlockEventFlagId,textId,displayMinTime,displayTime,pad3
0,0,0,System.Byte[],0,0,0,System.Byte[],0,System.Byte[],0,-1,1,3,System.Byte[]
1,0,0,System.Byte[],100,0,0,System.Byte[],0,System.Byte[],0,1,1,3,System.Byte[]
2,0,0,System.Byte[],0,0,0,System.Byte[],0,System.Byte[],0,2,1,3,System.Byte[]
1000,0,0,System.Byte[],0,0,0,System.Byte[],0,System.Byte[],710000,101000,1,4.5,System.Byte[]
1010,0,0,System.Byte[],1,0,1,System.Byte[],0,System.Byte[],710010,201010,1,3.5,System.Byte[]
1020,0,0,System.Byte[],100,0,1,System.Byte[],3,System.Byte[],710020,301020,1,4.5,System.Byte[]
1030,0,0,System.Byte[],0,0,1,System.Byte[],0,System.Byte[],710030,101030,1,2.5,System.Byte[]
1040,0,0,System.Byte[],0,0,1,System.Byte[],0,System.Byte[],710040,101040,1,4.5,System.Byte[]
1050,0,0,System.Byte[],0,0,1,System.Byte[],0,System.Byte[],710050,101050,1,2.5,System.Byte[]
1060,0,0,System.Byte[],100,0,1,System.Byte[],7,System.Byte[],710060,301060,1,4.5,System.Byte[]
1070,0,0,System.Byte[],100,0,1,System.Byte[],16,System.Byte[],710070,302410,1,4.5,System.Byte[]
1080,0,0,System.Byte[],0,0,1,System.Byte[],0,System.Byte[],710080,101080,1,4.5,System.Byte[]
1090,0,0,System.Byte[],0,0,1,System.Byte[],0,System.Byte[],710090,101090,1,4.5,System.Byte[]
1100,0,0,System.Byte[],1,0,1,System.Byte[],0,System.Byte[],710100,201100,1,7,System.Byte[]
1110,0,0,System.Byte[],0,0,1,System.Byte[],0,System.Byte[],710110,101110,1,4.5,System.Byte[]
1120,0,0,System.Byte[],0,0,1,System.Byte[],0,System.Byte[],710120,101120,1,4.5,System.Byte[]
1130,0,0,System.Byte[],100,0,1,System.Byte[],14,System.Byte[],710130,301130,1,4.5,System.Byte[]
1140,0,0,System.Byte[],100,0,1,System.Byte[],15,System.Byte[],710140,301140,1,4.5,System.Byte[]
1150,0,0,System.Byte[],0,0,1,System.Byte[],0,System.Byte[],710150,101150,1,4.5,System.Byte[]
1160,0,0,System.Byte[],100,0,1,System.Byte[],17,System.Byte[],710160,301160,1,4.5,System.Byte[]
1170,0,0,System.Byte[],0,0,1,System.Byte[],0,System.Byte[],710170,101170,1,4.5,System.Byte[]
1180,0,0,System.Byte[],100,0,1,System.Byte[],18,System.Byte[],710180,302400,1,4.5,System.Byte[]
1190,0,0,System.Byte[],100,0,1,System.Byte[],105,System.Byte[],710190,301540,1,4.5,System.Byte[]
1200,0,0,System.Byte[],100,0,1,System.Byte[],19,System.Byte[],710200,302430,1,4.5,System.Byte[]
1210,0,0,System.Byte[],100,0,1,System.Byte[],131,System.Byte[],710210,302490,1,4.5,System.Byte[]
1500,0,0,System.Byte[],100,0,0,System.Byte[],100,System.Byte[],710500,301500,1,3,System.Byte[]
1510,0,0,System.Byte[],100,0,0,System.Byte[],102,System.Byte[],710510,301510,1,3,System.Byte[]
1520,0,0,System.Byte[],100,0,0,System.Byte[],103,System.Byte[],710520,301520,1,3,System.Byte[]
1530,0,0,System.Byte[],100,0,0,System.Byte[],104,System.Byte[],710530,301530,1,3,System.Byte[]
1550,0,0,System.Byte[],100,0,0,System.Byte[],106,System.Byte[],710550,301550,1,3,System.Byte[]
1560,0,0,System.Byte[],100,0,0,System.Byte[],107,System.Byte[],710560,301560,1,3,System.Byte[]
1570,0,0,System.Byte[],100,0,0,System.Byte[],108,System.Byte[],710570,301570,1,3,System.Byte[]
1580,0,0,System.Byte[],100,0,0,System.Byte[],109,System.Byte[],710580,301580,1,3,System.Byte[]
1590,0,0,System.Byte[],100,0,0,System.Byte[],110,System.Byte[],710590,301590,1,3,System.Byte[]
1600,1,0,System.Byte[],100,0,0,System.Byte[],121,System.Byte[],710600,301600,1,3,System.Byte[]
1610,0,0,System.Byte[],100,0,0,System.Byte[],112,System.Byte[],710610,301610,1,3,System.Byte[]
1620,0,0,System.Byte[],100,0,0,System.Byte[],113,System.Byte[],710620,301620,1,3,System.Byte[]
1630,0,0,System.Byte[],100,0,0,System.Byte[],123,System.Byte[],710630,301630,1,3,System.Byte[]
1640,0,0,System.Byte[],100,0,0,System.Byte[],115,System.Byte[],710640,301640,1,3,System.Byte[]
1650,1,0,System.Byte[],100,0,0,System.Byte[],116,System.Byte[],710650,301650,1,3,System.Byte[]
1660,1,0,System.Byte[],100,0,0,System.Byte[],117,System.Byte[],710660,301660,1,3,System.Byte[]
1670,1,0,System.Byte[],100,0,0,System.Byte[],118,System.Byte[],710670,301670,1,3,System.Byte[]
1680,1,0,System.Byte[],100,0,0,System.Byte[],119,System.Byte[],710680,301680,1,3,System.Byte[]
1690,0,0,System.Byte[],100,0,0,System.Byte[],120,System.Byte[],710690,301690,1,3,System.Byte[]
1700,1,0,System.Byte[],100,0,0,System.Byte[],124,System.Byte[],710700,302380,1,3,System.Byte[]
1710,0,0,System.Byte[],100,0,0,System.Byte[],126,System.Byte[],710710,302390,1,3,System.Byte[]
1720,1,0,System.Byte[],100,0,0,System.Byte[],125,System.Byte[],710720,302420,1,3,System.Byte[]
1730,0,0,System.Byte[],100,0,0,System.Byte[],127,System.Byte[],710730,302440,1,3,System.Byte[]
1740,0,0,System.Byte[],100,0,0,System.Byte[],128,System.Byte[],710740,302450,1,3,System.Byte[]
1750,1,0,System.Byte[],100,0,0,System.Byte[],122,System.Byte[],710600,302000,1,3,System.Byte[]
1760,0,0,System.Byte[],100,0,0,System.Byte[],200,System.Byte[],710760,309000,1,3,System.Byte[]
1770,1,0,System.Byte[],100,0,0,System.Byte[],130,System.Byte[],710770,302480,1,3,System.Byte[]
1780,1,0,System.Byte[],100,0,0,System.Byte[],129,System.Byte[],710780,302460,1,3,System.Byte[]
2000,0,0,System.Byte[],100,2,0,System.Byte[],0,System.Byte[],720000,402000,1,3,System.Byte[]
2010,0,0,System.Byte[],100,3,0,System.Byte[],0,System.Byte[],720010,402010,1,3,System.Byte[]
2020,0,0,System.Byte[],100,4,0,System.Byte[],0,System.Byte[],720020,402020,1,3,System.Byte[]
2030,0,0,System.Byte[],100,5,0,System.Byte[],0,System.Byte[],720030,402030,1,3,System.Byte[]
2040,0,0,System.Byte[],100,6,0,System.Byte[],0,System.Byte[],720040,402040,1,3,System.Byte[]
2050,0,0,System.Byte[],100,7,0,System.Byte[],0,System.Byte[],720050,402050,1,3,System.Byte[]
2060,0,0,System.Byte[],100,9,0,System.Byte[],0,System.Byte[],720060,402200,1,3,System.Byte[]
2090,0,0,System.Byte[],100,12,0,System.Byte[],0,System.Byte[],720090,402230,1,3,System.Byte[]
2100,0,0,System.Byte[],100,13,0,System.Byte[],0,System.Byte[],720100,402240,1,3,System.Byte[]
2110,0,0,System.Byte[],100,14,0,System.Byte[],0,System.Byte[],720110,402250,1,3,System.Byte[]
2120,0,0,System.Byte[],100,32,0,System.Byte[],0,System.Byte[],720120,402300,1,3,System.Byte[]
2140,0,0,System.Byte[],100,39,0,System.Byte[],0,System.Byte[],720140,402320,1,3,System.Byte[]
2150,1,0,System.Byte[],100,40,0,System.Byte[],0,System.Byte[],720150,402330,1,3,System.Byte[]
2170,1,0,System.Byte[],100,64,0,System.Byte[],0,System.Byte[],720170,402350,1,3,System.Byte[]
2180,0,0,System.Byte[],100,65,0,System.Byte[],0,System.Byte[],720180,402360,1,3,System.Byte[]
2190,1,0,System.Byte[],100,70,0,System.Byte[],0,System.Byte[],720190,402370,1,3,System.Byte[]
2200,1,0,System.Byte[],100,37,0,System.Byte[],0,System.Byte[],720200,402380,1,3,System.Byte[]
2210,0,0,System.Byte[],100,8,0,System.Byte[],0,System.Byte[],720210,402100,1,3,System.Byte[]
2220,0,0,System.Byte[],100,41,0,System.Byte[],0,System.Byte[],720210,402390,1,3,System.Byte[]
