ID,mapId,TransitionSrcWeather,padding0,isFireAsh,padding1,reserved2,AssetId0,AssetId1,AssetId2,AssetId3,AssetId4,AssetId5,AssetId6,AssetId7,reserved0,CreateAssetLimitId0,CreateAssetLimitId1,CreateAssetLimitId2,CreateAssetLimitId3,reserved1
60001000,60000099,0,System.Byte[],0,System.Byte[],0,96010,96400,-1,96410,96411,96414,-1,-1,System.Byte[],0,-1,-1,-1,System.Byte[]
60001010,60000099,1,System.Byte[],0,System.Byte[],0,96010,-1,-1,96410,96411,96414,-1,-1,System.Byte[],0,-1,-1,-1,System.Byte[]
60001100,60000099,10,System.Byte[],0,System.Byte[],0,96010,96402,-1,96410,96411,96414,-1,-1,System.Byte[],0,-1,-1,-1,System.Byte[]
60001110,60000099,11,System.Byte[],0,System.Byte[],0,-1,96403,-1,96410,96411,96414,-1,-1,System.Byte[],0,-1,-1,-1,System.Byte[]
60001200,60000099,20,System.Byte[],0,System.Byte[],0,-1,96404,-1,96410,96411,96414,-1,-1,System.Byte[],0,-1,-1,-1,System.Byte[]
60001210,60000099,21,System.Byte[],0,System.Byte[],0,-1,96404,-1,96410,96411,96414,-1,-1,System.Byte[],0,-1,-1,-1,System.Byte[]
60001300,60000099,30,System.Byte[],0,System.Byte[],0,-1,96404,-1,-1,-1,-1,-1,-1,System.Byte[],0,-1,-1,-1,System.Byte[]
60001310,60000099,31,System.Byte[],0,System.Byte[],0,-1,96404,-1,-1,-1,-1,-1,-1,System.Byte[],0,-1,-1,-1,System.Byte[]
60001400,60000099,40,System.Byte[],0,System.Byte[],0,-1,96404,-1,-1,-1,-1,-1,-1,System.Byte[],0,-1,-1,-1,System.Byte[]
60001410,60000099,41,System.Byte[],0,System.Byte[],0,-1,96404,-1,-1,-1,-1,-1,-1,System.Byte[],0,-1,-1,-1,System.Byte[]
60001500,60000099,50,System.Byte[],0,System.Byte[],0,-1,96404,-1,-1,-1,-1,-1,-1,System.Byte[],0,-1,-1,-1,System.Byte[]
60001510,60000099,51,System.Byte[],0,System.Byte[],0,-1,96404,-1,-1,-1,-1,-1,-1,System.Byte[],0,-1,-1,-1,System.Byte[]
60001520,60000099,52,System.Byte[],0,System.Byte[],0,-1,96404,-1,-1,-1,-1,-1,-1,System.Byte[],0,-1,-1,-1,System.Byte[]
60001600,60000099,60,System.Byte[],0,System.Byte[],0,-1,96403,-1,96410,96411,96414,-1,-1,System.Byte[],0,-1,-1,-1,System.Byte[]
60001820,60000099,82,System.Byte[],0,System.Byte[],0,-1,96404,-1,-1,-1,-1,-1,-1,System.Byte[],0,-1,-1,-1,System.Byte[]
60001990,60000099,99,System.Byte[],0,System.Byte[],0,96102,-1,-1,-1,-1,-1,-1,-1,System.Byte[],0,-1,-1,-1,System.Byte[]
60001001,60000099,0,System.Byte[],0,System.Byte[],0,-1,96864,-1,96870,96416,96417,-1,-1,System.Byte[],1,-1,-1,-1,System.Byte[]
60001011,60000099,1,System.Byte[],0,System.Byte[],0,96012,-1,-1,96870,96416,96417,-1,-1,System.Byte[],1,-1,-1,-1,System.Byte[]
60001101,60000099,10,System.Byte[],0,System.Byte[],0,-1,96864,-1,96870,96416,96417,-1,-1,System.Byte[],1,-1,-1,-1,System.Byte[]
60001111,60000099,11,System.Byte[],0,System.Byte[],0,-1,96864,-1,96870,96416,96417,-1,-1,System.Byte[],1,-1,-1,-1,System.Byte[]
60001201,60000099,20,System.Byte[],0,System.Byte[],0,-1,96864,-1,96870,96416,96417,-1,-1,System.Byte[],1,-1,-1,-1,System.Byte[]
