ID,SfxId,WindSfxId,GroundHitSfxId,SoundId,WetTime,GparamId,NextLotIngameSecondsMin,NextLotIngameSecondsMax,WetSpEffectId00,WetSpEffectId01,WetSpEffectId02,WetSpEffectId03,WetSpEffectId04,SfxIdInoor,SfxIdOutdoor,aiSightRate,DistViewWeatherGparamOverrideWeight
0,-1,808006,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1
1,-1,808006,-1,-1,-1,1,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1
10,-1,808006,-1,-1,-1,10,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1
11,-1,808006,-1,-1,-1,11,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1
20,806100,808006,1004010,806100,20,20,3600,7200,4650,4600,-1,-1,-1,-1,-1,1,0.3
21,806100,808006,1004010,806100,20,20,2400,5200,4651,4601,-1,-1,-1,-1,-1,0.9,0.3
30,806130,808004,1004010,806130,20,30,2400,5200,4652,4602,-1,-1,-1,-1,806132,0.8,0.3
31,-1,808004,-1,-1,-1,31,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,0.05
40,806120,808006,-1,-1,20,40,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,0.3
41,806121,808006,-1,-1,20,40,3600,7200,-1,-1,-1,-1,-1,-1,-1,0.9,0.3
50,-1,808006,-1,-1,-1,50,3600,7200,-1,-1,-1,-1,-1,-1,-1,0.9,0.3
51,-1,808006,-1,-1,-1,51,2400,5200,-1,-1,-1,-1,-1,-1,-1,0.8,0.3
52,806100,808006,1004010,806100,20,51,3600,7200,4650,4600,-1,-1,-1,-1,-1,0.8,0.3
60,-1,808004,-1,-1,-1,60,2400,5200,-1,-1,-1,-1,-1,-1,-1,1,-1
81,806125,808006,-1,-1,20,81,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,0.3
82,806130,808006,1004010,-1,20,82,3600,7200,-1,-1,-1,-1,-1,-1,806132,1,0.3
83,806120,808006,-1,-1,20,83,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,0.3
84,-1,808006,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1
85,-1,808006,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1
86,-1,808006,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1
87,-1,808006,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1
88,-1,808006,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1
99,-1,808006,-1,-1,-1,99,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1
1010,-1,808006,-1,-1,-1,622,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1
1011,-1,808006,-1,-1,-1,622,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1
1040,-1,808006,-1,-1,-1,624,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,0.3
3010,-1,808006,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1
3011,-1,808006,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1
3120,806102,808006,1004010,806100,20,672,3600,7200,4650,4600,-1,-1,-1,-1,-1,1,-1
4000,-1,808006,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1
4010,-1,808006,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1
4011,816021,808006,-1,-1,-1,682,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1
4040,806120,808006,-1,-1,20,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,0.3
4201,-1,808006,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1
4210,-1,808006,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1
4211,-1,808006,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1
4220,806100,808006,1004010,806100,20,0,3600,7200,4650,4600,-1,-1,-1,-1,-1,1,0.3
4221,806100,808006,1004010,806100,20,0,2400,5200,4651,4601,-1,-1,-1,-1,-1,0.9,0.3
4230,806130,808004,1004010,806130,20,0,2400,5200,4652,4602,-1,-1,-1,-1,806132,0.8,0.3
4231,-1,808004,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,0.3
4240,806120,808006,-1,-1,20,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,0.3
4241,806121,808006,-1,-1,20,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,0.9,0.3
4250,-1,808006,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,0.9,0.3
4251,-1,808006,-1,-1,-1,0,2400,5200,-1,-1,-1,-1,-1,-1,-1,0.8,0.3
