ID,baseColorR,baseColorG,baseColorB,reserve_0,baseColorA,metallic,reserve_1,reserve_2,reserve_3,metallicRate,shininessRate,shininess,reserve_4
0,0,0,0,System.Byte[],0,0,System.Byte[],System.Byte[],System.Byte[],0,0,0,System.Byte[]
1,0,0,0,System.Byte[],0.2,0,System.Byte[],System.Byte[],System.Byte[],0,0.7,180,System.Byte[]
2,50,90,40,System.Byte[],0.6,0,System.Byte[],System.Byte[],System.Byte[],0.2,0.7,130,System.Byte[]
3,90,80,60,System.Byte[],0.9,0,System.Byte[],System.Byte[],System.Byte[],0.9,0.7,150,System.Byte[]
4,200,210,230,System.Byte[],0.2,0,System.Byte[],System.Byte[],System.Byte[],0.05,0.7,150,System.Byte[]
5,90,90,10,System.Byte[],0.3,255,System.Byte[],System.Byte[],System.Byte[],0.2,0.9,150,System.Byte[]
6,60,20,10,System.Byte[],0.5,0,System.Byte[],System.Byte[],System.Byte[],0.1,0.7,20,System.Byte[]
7,155,155,175,System.Byte[],1,255,System.Byte[],System.Byte[],System.Byte[],1,1,190,System.Byte[]
8,0,0,0,System.Byte[],0,0,System.Byte[],System.Byte[],System.Byte[],0,0,0,System.Byte[]
9,0,0,0,System.Byte[],0,0,System.Byte[],System.Byte[],System.Byte[],0,0,0,System.Byte[]
10,120,0,10,System.Byte[],0.9,0,System.Byte[],System.Byte[],System.Byte[],0,0.7,150,System.Byte[]
11,5,5,10,System.Byte[],1,0,System.Byte[],System.Byte[],System.Byte[],0,1,150,System.Byte[]
12,0,0,0,System.Byte[],0,0,System.Byte[],System.Byte[],System.Byte[],0,0,0,System.Byte[]
13,0,0,0,System.Byte[],0,0,System.Byte[],System.Byte[],System.Byte[],0,0,0,System.Byte[]
14,0,0,0,System.Byte[],0,0,System.Byte[],System.Byte[],System.Byte[],0,0,0,System.Byte[]
15,0,0,0,System.Byte[],0,0,System.Byte[],System.Byte[],System.Byte[],0,0,0,System.Byte[]
16,0,0,0,System.Byte[],0,0,System.Byte[],System.Byte[],System.Byte[],0,0,0,System.Byte[]
17,255,255,0,System.Byte[],1,0,System.Byte[],System.Byte[],System.Byte[],0,0,0,System.Byte[]
18,200,200,200,System.Byte[],0.8,255,System.Byte[],System.Byte[],System.Byte[],1,0.85,255,System.Byte[]
19,130,60,30,System.Byte[],0.7,0,System.Byte[],System.Byte[],System.Byte[],0.2,0.7,130,System.Byte[]
