ID,disableParam_NT,disableParamReserve1,disableParamReserve2,openEventFlagId,openTravelAreaLeft,openTravelAreaRight,openTravelAreaTop,openTravelAreaBottom,acquisitionEventFlagId,acquisitionEventScale,acquisitionEventCenterX,acquisitionEventCenterY,acquisitionEventResScale,acquisitionEventResOffsetX,acquisitionEventResOffsetY,pad
0,0,0,System.Byte[],62010,1877,4895,5922,7902,63010,1,0,0,1,0,0,System.Byte[]
1,1,0,System.Byte[],62011,3041,5089,7341,9096,63011,1,0,0,1,0,0,System.Byte[]
2,1,0,System.Byte[],62012,3982,5544,5669,7718,63012,1,0,0,1,0,0,System.Byte[]
3,1,0,System.Byte[],62020,1907,4154,3344,6688,63020,1,0,0,1,0,0,System.Byte[]
4,1,0,System.Byte[],62021,1392,2784,3954,5834,63021,1,0,0,1,0,0,System.Byte[]
5,1,0,System.Byte[],62022,150,2629,3155,6640,63022,1,0,0,1,0,0,System.Byte[]
6,1,0,System.Byte[],62030,2607,4377,1971,4810,63030,1,0,0,1,0,0,System.Byte[]
7,1,0,System.Byte[],62031,3432,4979,2687,5636,63031,1,0,0,1,0,0,System.Byte[]
8,1,0,System.Byte[],62032,1354,3194,1694,3701,63032,1,0,0,1,0,0,System.Byte[]
9,1,0,System.Byte[],62040,4724,7194,6002,7956,63040,1,0,0,1,0,0,System.Byte[]
10,1,0,System.Byte[],62041,4644,7189,4979,6646,63041,1,0,0,1,0,0,System.Byte[]
11,1,0,System.Byte[],62050,4559,7659,1644,5701,63050,1,0,0,1,0,0,System.Byte[]
12,1,0,System.Byte[],62051,5719,8704,519,4356,63051,1,0,0,1,0,0,System.Byte[]
13,1,0,System.Byte[],62052,2674,7499,0,3316,63052,1,0,0,1,0,0,System.Byte[]
14,1,0,System.Byte[],62053,2674,7499,0,3316,63053,1,0,0,1,0,0,System.Byte[]
15,1,0,System.Byte[],62004,4154,7189,3954,6646,63004,1,0,0,1,0,0,System.Byte[]
16,1,0,System.Byte[],62005,0,4154,3954,9112,0,1,0,0,1,0,0,System.Byte[]
17,1,0,System.Byte[],62006,0,3432,0,4979,0,1,0,0,1,0,0,System.Byte[]
18,1,0,System.Byte[],62007,3982,9648,3954,9112,0,1,0,0,1,0,0,System.Byte[]
19,1,0,System.Byte[],62008,5544,9648,0,5834,0,1,0,0,1,0,0,System.Byte[]
20,1,0,System.Byte[],62009,2784,8704,0,2687,0,1,0,0,1,0,0,System.Byte[]
70,0,0,System.Byte[],62000,3561,4036,6957,7588,0,1,0,0,1,0,0,System.Byte[]
100,1,0,System.Byte[],62060,876,3779,2750,6056,63060,1,0,0,1,0,0,System.Byte[]
101,1,0,System.Byte[],62061,216,2444,3350,6696,63061,1,0,0,1,0,0,System.Byte[]
102,1,0,System.Byte[],62062,3526,6889,6175,8493,63062,1,0,0,1,0,0,System.Byte[]
103,1,0,System.Byte[],62063,3467,6834,4814,7333,63063,1,0,0,1,0,0,System.Byte[]
104,1,0,System.Byte[],62064,2187,5779,1455,5063,63064,1,0,0,1,0,0,System.Byte[]
105,1,0,System.Byte[],62065,4558,6784,1345,4070,63065,1,0,0,1,0,0,System.Byte[]
