ID,disableParam_NT,disableParamReserve1,disableParamReserve2,ParamStr
213000,0,0,System.Byte[],c2130_A
920200,0,0,System.Byte[],MidBoss_TreeKnights
920300,0,0,System.Byte[],MidBoss_Wyvern
920900,0,0,System.Byte[],MidBoss_BasementRoom
925000,0,0,System.Byte[],MidBoss_CircleEvent
930000,0,0,System.Byte[],MidBoss_Catacombs
931000,0,0,System.Byte[],MidBoss_Cave
932000,0,0,System.Byte[],MidBoss_Tunnel
20000000,0,0,System.Byte[],None
20000001,0,0,System.Byte[],_BgmSilent
20000002,0,0,System.Byte[],dmy
20000003,0,0,System.Byte[],dmy
20000004,0,0,System.Byte[],c2130_A
20000005,0,0,System.Byte[],dmy
20000006,0,0,System.Byte[],dmy
20000007,0,0,System.Byte[],dmy
20000008,0,0,System.Byte[],dmy
20000009,0,0,System.Byte[],dmy
20000010,0,0,System.Byte[],dmy
20000011,0,0,System.Byte[],MidBoss_Catacombs
20000012,0,0,System.Byte[],MidBoss_Cave
20000013,0,0,System.Byte[],dmy
20000014,0,0,System.Byte[],dmy
20000015,0,0,System.Byte[],dmy
20000016,0,0,System.Byte[],MidBoss_Tunnel
20000017,0,0,System.Byte[],dmy
20000018,0,0,System.Byte[],MidBoss_TreeKnights
20000019,0,0,System.Byte[],_BgmSilent_MistWall
20000020,0,0,System.Byte[],MidBoss_CircleEvent
20000021,0,0,System.Byte[],dmy
20000022,0,0,System.Byte[],dmy
20000023,0,0,System.Byte[],dmy
20000024,0,0,System.Byte[],dmy
20000025,0,0,System.Byte[],dmy
20000026,0,0,System.Byte[],dmy
20000027,0,0,System.Byte[],dmy
20000028,0,0,System.Byte[],dmy
20000029,0,0,System.Byte[],dmy
20000030,0,0,System.Byte[],dmy
20000031,0,0,System.Byte[],MidBoss_BasementRoom
20000032,0,0,System.Byte[],dmy
20000033,0,0,System.Byte[],dmy
20000034,0,0,System.Byte[],dmy
20000035,0,0,System.Byte[],dmy
20000036,0,0,System.Byte[],dmy
20000037,0,0,System.Byte[],dmy
20000038,0,0,System.Byte[],dmy
20000039,0,0,System.Byte[],dmy
20000040,0,0,System.Byte[],dmy
20000041,0,0,System.Byte[],dmy
20000042,0,0,System.Byte[],dmy
20000043,0,0,System.Byte[],dmy
20000044,0,0,System.Byte[],dmy
20000045,0,0,System.Byte[],dmy
20000046,0,0,System.Byte[],dmy
20000047,0,0,System.Byte[],dmy
20000048,0,0,System.Byte[],dmy
20000049,0,0,System.Byte[],dmy
20000050,0,0,System.Byte[],dmy
20000051,0,0,System.Byte[],dmy
20000052,0,0,System.Byte[],dmy
20000053,0,0,System.Byte[],FieldBoss_Lv02
20000054,0,0,System.Byte[],dmy
20000055,0,0,System.Byte[],dmy
20000056,0,0,System.Byte[],dmy
20000057,0,0,System.Byte[],dmy
20000058,0,0,System.Byte[],dmy
20000059,0,0,System.Byte[],dmy
20000060,0,0,System.Byte[],dmy
20000061,0,0,System.Byte[],dmy
20000062,0,0,System.Byte[],dmy
20000063,0,0,System.Byte[],FieldBoss_Lv12
20000064,0,0,System.Byte[],dmy
20000065,0,0,System.Byte[],dmy
20000066,0,0,System.Byte[],dmy
20000067,0,0,System.Byte[],dmy
20000068,0,0,System.Byte[],dmy
20000069,0,0,System.Byte[],dmy
20000070,0,0,System.Byte[],dmy
20000071,0,0,System.Byte[],dmy
20000072,0,0,System.Byte[],dmy
20000073,0,0,System.Byte[],dmy
20000074,0,0,System.Byte[],dmy
20000075,0,0,System.Byte[],dmy
20000076,0,0,System.Byte[],FieldBoss_Lv25
20000077,0,0,System.Byte[],dmy
20000078,0,0,System.Byte[],dmy
20000079,0,0,System.Byte[],dmy
20000080,0,0,System.Byte[],dmy
20000081,0,0,System.Byte[],dmy
20000082,0,0,System.Byte[],dmy
20000083,0,0,System.Byte[],MultiHostile_00
20000084,0,0,System.Byte[],dmy
20000085,0,0,System.Byte[],dmy
20000086,0,0,System.Byte[],dmy
20000087,0,0,System.Byte[],dmy
20000088,0,0,System.Byte[],dmy
20000089,0,0,System.Byte[],Invalid
21000000,0,0,System.Byte[],Bgm_000_Green
21000001,0,0,System.Byte[],dmy
21000002,0,0,System.Byte[],dmy
21000003,0,0,System.Byte[],dmy
21000004,0,0,System.Byte[],dmy
21000005,0,0,System.Byte[],Bgm_100_Castle
21000006,0,0,System.Byte[],dmy
21000007,0,0,System.Byte[],dmy
21000008,0,0,System.Byte[],dmy
21000009,0,0,System.Byte[],dmy
21000010,0,0,System.Byte[],dmy
21000011,0,0,System.Byte[],dmy
21000012,0,0,System.Byte[],dmy
21000013,0,0,System.Byte[],Bgm_180_Tutorial
21000014,0,0,System.Byte[],dmy
21000015,0,0,System.Byte[],Bgm_300_Catacombs
21000016,0,0,System.Byte[],Bgm_310_Cave
21000017,0,0,System.Byte[],Bgm_320_Tunnel
21000018,0,0,System.Byte[],dmy
21000019,0,0,System.Byte[],dmy
21000020,0,0,System.Byte[],dmy
21000021,0,0,System.Byte[],dmy
21000022,0,0,System.Byte[],dmy
21000023,0,0,System.Byte[],Bgm_999_None
