ID,disableParam_NT,disableParamReserve1,disableParamReserve2,ParamStr
0,0,0,System.Byte[],Env_000_Green
10,1,0,System.Byte[],Env_010_Lake
20,1,0,System.Byte[],Env_020_Mountain
30,1,0,System.Byte[],Env_030_Plain
40,1,0,System.Byte[],Env_040_Snow
100,0,0,System.Byte[],Env_100_Castle
110,1,0,System.Byte[],Env_110_KingCity
120,1,0,System.Byte[],Env_120_UgLabyrinth
130,1,0,System.Byte[],Env_130_Remains
140,1,0,System.Byte[],Env_140_Academy
150,1,0,System.Byte[],Env_150_RottenBigTree
160,1,0,System.Byte[],Env_160_VolcanoPrison
180,0,0,System.Byte[],Env_180_Tutorial
190,1,0,System.Byte[],Env_190_Ritual
300,0,0,System.Byte[],Env_300_Catacombs
310,0,0,System.Byte[],Env_310_Cave
320,0,0,System.Byte[],Env_320_Tunnel
340,1,0,System.Byte[],Env_340_Tower
350,1,0,System.Byte[],Env_350_UgKingCity
390,1,0,System.Byte[],Env_390_CliffTunnel
500,1,0,System.Byte[],Env_500_Fortress
