ID,disableParam_NT,disableParamReserve1,disableParamReserve2,ParamStr
0,0,0,System.Byte[],Armour
100,0,0,System.Byte[],Armour
101,0,0,System.Byte[],Armour
102,0,0,System.Byte[],Armour
103,0,0,System.Byte[],Armour
104,0,0,System.Byte[],Armour
105,0,0,System.Byte[],Armour
106,0,0,System.Byte[],Armour
107,0,0,System.Byte[],Armour
108,0,0,System.Byte[],LeatherArmour
109,0,0,System.Byte[],Nude
110,0,0,System.Byte[],Nude
111,0,0,System.Byte[],Nude
112,0,0,System.Byte[],Armour
113,0,0,System.Byte[],Cloth
114,0,0,System.Byte[],Armour
115,0,0,System.Byte[],Cloth
116,0,0,System.Byte[],Armour
117,0,0,System.Byte[],Cloth
118,0,0,System.Byte[],Armour
119,0,0,System.Byte[],Armour
120,0,0,System.Byte[],Armour
121,0,0,System.Byte[],Armour
122,0,0,System.Byte[],Armour
123,0,0,System.Byte[],Armour
124,0,0,System.Byte[],Armour
125,0,0,System.Byte[],Armour
126,0,0,System.Byte[],Armour
127,0,0,System.Byte[],Armour
128,0,0,System.Byte[],Armour
129,0,0,System.Byte[],Armour
130,0,0,System.Byte[],Armour
131,0,0,System.Byte[],Armour
132,0,0,System.Byte[],Armour
133,0,0,System.Byte[],Armour
134,0,0,System.Byte[],Armour
135,0,0,System.Byte[],Armour
136,0,0,System.Byte[],Armour
137,0,0,System.Byte[],Armour
138,0,0,System.Byte[],Armour
139,0,0,System.Byte[],Armour
140,0,0,System.Byte[],Armour
141,0,0,System.Byte[],Armour
142,0,0,System.Byte[],Armour
143,0,0,System.Byte[],Armour
144,0,0,System.Byte[],ChainMail
145,0,0,System.Byte[],Armour
146,0,0,System.Byte[],Nude
147,0,0,System.Byte[],Nude
148,0,0,System.Byte[],Armour
149,0,0,System.Byte[],Armour
150,0,0,System.Byte[],Armour
151,0,0,System.Byte[],Armour
152,0,0,System.Byte[],Armour
153,0,0,System.Byte[],Armour
154,0,0,System.Byte[],Armour
155,0,0,System.Byte[],Armour
156,0,0,System.Byte[],Armour
157,0,0,System.Byte[],Armour
158,0,0,System.Byte[],Armour
159,0,0,System.Byte[],Armour
160,0,0,System.Byte[],Armour
161,0,0,System.Byte[],Armour
162,0,0,System.Byte[],Armour
163,0,0,System.Byte[],Armour
164,0,0,System.Byte[],Armour
165,0,0,System.Byte[],Armour
