ID,disableParam_NT,disableParamReserve1,disableParamReserve2,ParamStr
0,0,0,System.Byte[],Boots
100,0,0,System.Byte[],Boots
101,0,0,System.Byte[],Boots
102,0,0,System.Byte[],Boots
103,0,0,System.Byte[],Barefoot
104,0,0,System.Byte[],Boots
105,0,0,System.Byte[],Boots
106,0,0,System.Byte[],Boots
107,0,0,System.Byte[],Boots
108,0,0,System.Byte[],Boots
109,0,0,System.Byte[],Barefoot
110,0,0,System.Byte[],Barefoot
111,0,0,System.Byte[],Barefoot
112,0,0,System.Byte[],Boots
113,0,0,System.Byte[],Cloth
114,0,0,System.Byte[],Boots
115,0,0,System.Byte[],Cloth
116,0,0,System.Byte[],Boots
117,0,0,System.Byte[],Boots
118,0,0,System.Byte[],Boots
119,0,0,System.Byte[],Boots
120,0,0,System.Byte[],Boots
121,0,0,System.Byte[],Boots
122,0,0,System.Byte[],Boots
123,0,0,System.Byte[],Boots
124,0,0,System.Byte[],Boots
125,0,0,System.Byte[],Boots
126,0,0,System.Byte[],Boots
127,0,0,System.Byte[],Boots
128,0,0,System.Byte[],Boots
129,0,0,System.Byte[],Boots
130,0,0,System.Byte[],Boots
131,0,0,System.Byte[],Boots
132,0,0,System.Byte[],Boots
133,0,0,System.Byte[],Boots
134,0,0,System.Byte[],Boots
135,0,0,System.Byte[],Boots
136,0,0,System.Byte[],Boots
137,0,0,System.Byte[],Boots
138,0,0,System.Byte[],Boots
139,0,0,System.Byte[],Boots
140,0,0,System.Byte[],Boots
141,0,0,System.Byte[],Boots
142,0,0,System.Byte[],Boots
143,0,0,System.Byte[],Boots
144,0,0,System.Byte[],Boots
145,0,0,System.Byte[],Boots
146,0,0,System.Byte[],Barefoot
147,0,0,System.Byte[],Barefoot
148,0,0,System.Byte[],Boots
149,0,0,System.Byte[],Boots
150,0,0,System.Byte[],Boots
151,0,0,System.Byte[],Boots
152,0,0,System.Byte[],Boots
153,0,0,System.Byte[],Boots
154,0,0,System.Byte[],Boots
155,0,0,System.Byte[],Boots
156,0,0,System.Byte[],Boots
157,0,0,System.Byte[],Boots
158,0,0,System.Byte[],Boots
159,0,0,System.Byte[],Boots
160,0,0,System.Byte[],Boots
161,0,0,System.Byte[],Boots
162,0,0,System.Byte[],Boots
163,0,0,System.Byte[],Boots
164,0,0,System.Byte[],Boots
165,0,0,System.Byte[],Boots
